study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,27,Bourgogne-Franche-Comté,0,0-19 years,1,Male,structural_zero_supported,0,0,0,325903,0,0,0
2021,27,Bourgogne-Franche-Comté,0,0-19 years,1,Male,structural_zero_supported,0,0,0,323691,0,0,0
2022,27,Bourgogne-Franche-Comté,0,0-19 years,1,Male,structural_zero_supported,0,0,0,320594,0,0,0
2023,27,Bourgogne-Franche-Comté,0,0-19 years,1,Male,structural_zero_supported,0,0,0,317110,0,0,0
2024,27,Bourgogne-Franche-Comté,0,0-19 years,1,Male,structural_zero_supported,0,0,0,313738.5,0,0,0
2025,27,Bourgogne-Franche-Comté,0,0-19 years,1,Male,structural_zero_supported,0,0,0,310003,0,0,0
2020,27,Bourgogne-Franche-Comté,0,0-19 years,2,Female,structural_zero_supported,0,0,0,307724.5,0,0,0
2021,27,Bourgogne-Franche-Comté,0,0-19 years,2,Female,structural_zero_supported,0,0,0,304470.5,0,0,0
2022,27,Bourgogne-Franche-Comté,0,0-19 years,2,Female,observed,24,24,24,301134,7.9698738767459,7.9698738767459,7.9698738767459
2023,27,Bourgogne-Franche-Comté,0,0-19 years,2,Female,observed,21,21,21,297898,7.049392745167809,7.049392745167809,7.049392745167809
2024,27,Bourgogne-Franche-Comté,0,0-19 years,2,Female,observed,15,15,15,294289,5.09703047004815,5.09703047004815,5.09703047004815
2025,27,Bourgogne-Franche-Comté,0,0-19 years,2,Female,observed,13,13,13,290164,4.480224976220344,4.480224976220344,4.480224976220344
2020,27,Bourgogne-Franche-Comté,20,20-59 years,1,Male,observed,3805,3805,3805,659881.5,576.6186807782913,576.6186807782913,576.6186807782913
2021,27,Bourgogne-Franche-Comté,20,20-59 years,1,Male,observed,4545,4545,4545,660280.5,688.3438175139203,688.3438175139203,688.3438175139203
2022,27,Bourgogne-Franche-Comté,20,20-59 years,1,Male,observed,5365,5365,5365,660977,811.6772595718156,811.6772595718156,811.6772595718156
2023,27,Bourgogne-Franche-Comté,20,20-59 years,1,Male,observed,6360,6360,6360,659864,963.8349720548476,963.8349720548476,963.8349720548476
2024,27,Bourgogne-Franche-Comté,20,20-59 years,1,Male,observed,6217,6217,6217,658065.5,944.7387836013285,944.7387836013285,944.7387836013285
2025,27,Bourgogne-Franche-Comté,20,20-59 years,1,Male,observed,7418,7418,7418,656532.5,1129.8755202522343,1129.8755202522343,1129.8755202522343
2020,27,Bourgogne-Franche-Comté,20,20-59 years,2,Female,observed,3003,3003,3003,659264,455.5079603921949,455.5079603921949,455.5079603921949
2021,27,Bourgogne-Franche-Comté,20,20-59 years,2,Female,observed,3569,3569,3569,657784,542.5793269523126,542.5793269523126,542.5793269523126
2022,27,Bourgogne-Franche-Comté,20,20-59 years,2,Female,observed,4382,4382,4382,655973,668.0152994101891,668.0152994101891,668.0152994101891
2023,27,Bourgogne-Franche-Comté,20,20-59 years,2,Female,observed,5319,5319,5319,652492,815.1824083666926,815.1824083666926,815.1824083666926
2024,27,Bourgogne-Franche-Comté,20,20-59 years,2,Female,observed,5166,5166,5166,649137.5,795.8252296316266,795.8252296316266,795.8252296316266
2025,27,Bourgogne-Franche-Comté,20,20-59 years,2,Female,observed,6393,6393,6393,646229.5,989.2770292906778,989.2770292906778,989.2770292906778
2020,27,Bourgogne-Franche-Comté,60,60 years or older,1,Male,observed,8027,8027,8027,379063,2117.5899520660155,2117.5899520660155,2117.5899520660155
2021,27,Bourgogne-Franche-Comté,60,60 years or older,1,Male,observed,9831,9831,9831,382857.5,2567.7961121304925,2567.7961121304925,2567.7961121304925
2022,27,Bourgogne-Franche-Comté,60,60 years or older,1,Male,observed,12081,12081,12081,387454.5,3118.0435380154313,3118.0435380154313,3118.0435380154313
2023,27,Bourgogne-Franche-Comté,60,60 years or older,1,Male,observed,14498,14498,14498,392491.5,3693.8379557264298,3693.8379557264298,3693.8379557264298
2024,27,Bourgogne-Franche-Comté,60,60 years or older,1,Male,observed,14615,14615,14615,397472.5,3676.9839422853156,3676.9839422853156,3676.9839422853156
2025,27,Bourgogne-Franche-Comté,60,60 years or older,1,Male,observed,16802,16802,16802,402474.5,4174.674420367005,4174.674420367005,4174.674420367005
2020,27,Bourgogne-Franche-Comté,60,60 years or older,2,Female,observed,6423,6423,6423,469108.5,1369.1928413149624,1369.1928413149624,1369.1928413149624
2021,27,Bourgogne-Franche-Comté,60,60 years or older,2,Female,observed,7798,7798,7798,473002,1648.6188219077296,1648.6188219077296,1648.6188219077296
2022,27,Bourgogne-Franche-Comté,60,60 years or older,2,Female,observed,9409,9409,9409,477191,1971.7471620378421,1971.7471620378421,1971.7471620378421
2023,27,Bourgogne-Franche-Comté,60,60 years or older,2,Female,observed,11132,11132,11132,481569.5,2311.608189472132,2311.608189472132,2311.608189472132
2024,27,Bourgogne-Franche-Comté,60,60 years or older,2,Female,observed,11199,11199,11199,485826,2305.1462869422385,2305.1462869422385,2305.1462869422385
2025,27,Bourgogne-Franche-Comté,60,60 years or older,2,Female,observed,13014,13014,13014,490057,2655.609449513016,2655.609449513016,2655.609449513016
