study_year,geometry_code,geometry_name,analysis_region_code,analysis_region_name,standardised_rate_per_100000,standardisation_status,geography_source_id,amendment_id,analysis_version
2025,24,Centre-Val de Loire,24,Centre-Val de Loire,1395.3654435173,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté,1464.2744017024504,point_with_structural_zero,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,28,Normandie,28,Normandie,1296.9113895831088,point_with_structural_zero,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,32,Hauts-de-France,32,Hauts-de-France,1747.1649451613905,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,44,Grand Est,44,Grand Est,1568.1796923756413,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,52,Pays de la Loire,52,Pays de la Loire,1093.1302387671135,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,53,Bretagne,53,Bretagne,868.1991852659177,point_with_structural_zero,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,75,Nouvelle-Aquitaine,75,Nouvelle-Aquitaine,1229.8964567024368,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,76,Occitanie,76,Occitanie,1209.0609808021532,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes,1160.7348288101084,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur and Corse,1379.966051352888,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
2025,94,Corse,93,Provence-Alpes-Côte d'Azur and Corse,1379.966051352888,point_complete_observed,etalab_regions_2025_100m,003,sap-v1.0-amendments-001-002-003
