study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,24,Centre-Val de Loire,0,0-19 years,1,Male,structural_zero_supported,0,0,0,308727.5,0,0,0
2021,24,Centre-Val de Loire,0,0-19 years,1,Male,structural_zero_supported,0,0,0,307340.5,0,0,0
2022,24,Centre-Val de Loire,0,0-19 years,1,Male,structural_zero_supported,0,0,0,306264.5,0,0,0
2023,24,Centre-Val de Loire,0,0-19 years,1,Male,observed,15,15,15,304353.5,4.928479547631291,4.928479547631291,4.928479547631291
2024,24,Centre-Val de Loire,0,0-19 years,1,Male,observed,14,14,14,301851.5,4.6380422161228285,4.6380422161228285,4.6380422161228285
2025,24,Centre-Val de Loire,0,0-19 years,1,Male,observed,14,14,14,298747,4.686239527091486,4.686239527091486,4.686239527091486
2020,24,Centre-Val de Loire,0,0-19 years,2,Female,structural_zero_supported,0,0,0,292962.5,0,0,0
2021,24,Centre-Val de Loire,0,0-19 years,2,Female,structural_zero_supported,0,0,0,290624.5,0,0,0
2022,24,Centre-Val de Loire,0,0-19 years,2,Female,structural_zero_supported,0,0,0,288833,0,0,0
2023,24,Centre-Val de Loire,0,0-19 years,2,Female,observed,11,11,11,286599.5,3.8381085800917307,3.8381085800917307,3.8381085800917307
2024,24,Centre-Val de Loire,0,0-19 years,2,Female,observed,12,12,12,283987.5,4.225538095866896,4.225538095866896,4.225538095866896
2025,24,Centre-Val de Loire,0,0-19 years,2,Female,observed,26,26,26,280942.5,9.254562766402378,9.254562766402378,9.254562766402378
2020,24,Centre-Val de Loire,20,20-59 years,1,Male,observed,2967,2967,2967,601315.5,493.4181806389491,493.4181806389491,493.4181806389491
2021,24,Centre-Val de Loire,20,20-59 years,1,Male,observed,3700,3700,3700,601198.5,615.4373305987956,615.4373305987956,615.4373305987956
2022,24,Centre-Val de Loire,20,20-59 years,1,Male,observed,4589,4589,4589,601878,762.4468746157859,762.4468746157859,762.4468746157859
2023,24,Centre-Val de Loire,20,20-59 years,1,Male,observed,5553,5553,5553,601608,923.026289544022,923.026289544022,923.026289544022
2024,24,Centre-Val de Loire,20,20-59 years,1,Male,observed,5483,5483,5483,600718.5,912.740326792,912.740326792,912.740326792
2025,24,Centre-Val de Loire,20,20-59 years,1,Male,observed,6618,6618,6618,600409.5,1102.247715933875,1102.247715933875,1102.247715933875
2020,24,Centre-Val de Loire,20,20-59 years,2,Female,observed,2580,2580,2580,611227,422.1017723366278,422.1017723366278,422.1017723366278
2021,24,Centre-Val de Loire,20,20-59 years,2,Female,observed,3278,3278,3278,611205.5,536.3171633763112,536.3171633763112,536.3171633763112
2022,24,Centre-Val de Loire,20,20-59 years,2,Female,observed,4060,4060,4060,611938.5,663.4653645750349,663.4653645750349,663.4653645750349
2023,24,Centre-Val de Loire,20,20-59 years,2,Female,observed,5035,5035,5035,610865,824.2410352532884,824.2410352532884,824.2410352532884
2024,24,Centre-Val de Loire,20,20-59 years,2,Female,observed,5027,5027,5027,609030,825.410899298885,825.410899298885,825.410899298885
2025,24,Centre-Val de Loire,20,20-59 years,2,Female,observed,6313,6313,6313,607564,1039.0674891863243,1039.0674891863243,1039.0674891863243
2020,24,Centre-Val de Loire,60,60 years or older,1,Male,observed,5695,5695,5695,339215.5,1678.873754294836,1678.873754294836,1678.873754294836
2021,24,Centre-Val de Loire,60,60 years or older,1,Male,observed,7398,7398,7398,342709.5,2158.679581394738,2158.679581394738,2158.679581394738
2022,24,Centre-Val de Loire,60,60 years or older,1,Male,observed,9410,9410,9410,346788,2713.4733612466407,2713.4733612466407,2713.4733612466407
2023,24,Centre-Val de Loire,60,60 years or older,1,Male,observed,11412,11412,11412,351233.5,3249.120599259467,3249.120599259467,3249.120599259467
2024,24,Centre-Val de Loire,60,60 years or older,1,Male,observed,11598,11598,11598,355652,3261.05293939019,3261.05293939019,3261.05293939019
2025,24,Centre-Val de Loire,60,60 years or older,1,Male,observed,13623,13623,13623,360277.5,3781.251951620626,3781.251951620626,3781.251951620626
2020,24,Centre-Val de Loire,60,60 years or older,2,Female,observed,4585,4585,4585,420635,1090.0186622606298,1090.0186622606298,1090.0186622606298
2021,24,Centre-Val de Loire,60,60 years or older,2,Female,observed,5926,5926,5926,424371.5,1396.4179969672798,1396.4179969672798,1396.4179969672798
2022,24,Centre-Val de Loire,60,60 years or older,2,Female,observed,7573,7573,7573,428612,1766.8660700120388,1766.8660700120388,1766.8660700120388
2023,24,Centre-Val de Loire,60,60 years or older,2,Female,observed,9098,9098,9098,432859,2101.839167026676,2101.839167026676,2101.839167026676
2024,24,Centre-Val de Loire,60,60 years or older,2,Female,observed,9281,9281,9281,436916.5,2124.204510472825,2124.204510472825,2124.204510472825
2025,24,Centre-Val de Loire,60,60 years or older,2,Female,observed,10981,10981,10981,440855.5,2490.838834947052,2490.838834947052,2490.838834947052
