study_year,region_code,region_name,region_display,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardised_plot_rate_per_100000,standardisation_status
2024,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1253.574530555811,1253.574530555811,1253.574530555811,1253.574530555811,point_with_structural_zero
2025,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,1464.2744017024504,1464.2744017024504,1464.2744017024504,1464.2744017024504,point_with_structural_zero
2020,28,Normandie,Normandie,646.6067244544131,646.6067244544131,646.6067244544131,646.6067244544131,point_with_structural_zero
2021,28,Normandie,Normandie,784.5346584943079,784.5346584943079,784.5346584943079,784.5346584943079,point_with_structural_zero
2022,28,Normandie,Normandie,935.0288569474138,935.0288569474138,935.0288569474138,935.0288569474138,point_with_structural_zero
2023,28,Normandie,Normandie,1089.4808189773555,1089.4808189773555,1089.4808189773555,1089.4808189773555,point_with_structural_zero
2024,28,Normandie,Normandie,1094.0078644622342,1094.0078644622342,1094.0078644622342,1094.0078644622342,point_with_structural_zero
2025,28,Normandie,Normandie,1296.9113895831088,1296.9113895831088,1296.9113895831088,1296.9113895831088,point_with_structural_zero
2020,32,Hauts-de-France,Hauts-de-France,895.2314361507341,895.2314361507341,895.2314361507341,895.2314361507341,point_with_structural_zero
2021,32,Hauts-de-France,Hauts-de-France,1084.364620112765,1084.364620112765,1084.364620112765,1084.364620112765,point_with_structural_zero
2022,32,Hauts-de-France,Hauts-de-France,1302.8288262205663,1302.8288262205663,1302.8288262205663,1302.8288262205663,point_complete_observed
2023,32,Hauts-de-France,Hauts-de-France,1531.8827287057215,1531.8827287057215,1531.8827287057215,1531.8827287057215,point_complete_observed
2024,32,Hauts-de-France,Hauts-de-France,1526.9011680338194,1526.9011680338194,1526.9011680338194,1526.9011680338194,point_complete_observed
2025,32,Hauts-de-France,Hauts-de-France,1747.1649451613903,1747.1649451613903,1747.1649451613903,1747.1649451613903,point_complete_observed
2020,44,Grand Est,Grand Est,723.0993313156991,723.0993313156991,723.0993313156991,723.0993313156991,point_with_structural_zero
2021,44,Grand Est,Grand Est,900.3893838320336,900.3893838320336,900.3893838320336,900.3893838320336,point_with_structural_zero
2022,44,Grand Est,Grand Est,1103.6044057191773,1103.6044057191773,1103.6044057191773,1103.6044057191773,point_complete_observed
2023,44,Grand Est,Grand Est,1318.0041295570072,1318.0041295570072,1318.0041295570072,1318.0041295570072,point_complete_observed
2024,44,Grand Est,Grand Est,1326.5622586899917,1326.5622586899917,1326.5622586899917,1326.5622586899917,point_complete_observed
2025,44,Grand Est,Grand Est,1568.1796923756413,1568.1796923756413,1568.1796923756413,1568.1796923756413,point_complete_observed
2020,5,Overseas regions and departments,Overseas regions/departments,1170.8359365567894,1170.8359365567894,1170.8359365567894,1170.8359365567894,point_with_structural_zero
2021,5,Overseas regions and departments,Overseas regions/departments,1433.3437564703386,1433.3437564703386,1433.3437564703386,1433.3437564703386,point_with_structural_zero
2022,5,Overseas regions and departments,Overseas regions/departments,1709.419453361158,1709.419453361158,1709.419453361158,1709.419453361158,point_with_structural_zero
2023,5,Overseas regions and departments,Overseas regions/departments,2037.6333720724106,2037.6333720724106,2037.6333720724106,2037.6333720724106,point_complete_observed
2024,5,Overseas regions and departments,Overseas regions/departments,2232.13588136921,2232.13588136921,2232.13588136921,2232.13588136921,point_complete_observed
2025,5,Overseas regions and departments,Overseas regions/departments,2435.865767444098,2435.865767444098,2435.865767444098,2435.865767444098,point_complete_observed
2020,52,Pays de la Loire,Pays de la Loire,512.6777247744496,512.6777247744496,512.6777247744496,512.6777247744496,point_with_structural_zero
2021,52,Pays de la Loire,Pays de la Loire,634.9876717954248,634.9876717954248,634.9876717954248,634.9876717954248,point_complete_observed
2022,52,Pays de la Loire,Pays de la Loire,776.929300441656,776.929300441656,776.929300441656,776.929300441656,point_with_structural_zero
2023,52,Pays de la Loire,Pays de la Loire,909.73612693245,909.73612693245,909.73612693245,909.73612693245,point_complete_observed
2024,52,Pays de la Loire,Pays de la Loire,922.3712488035749,922.3712488035749,922.3712488035749,922.3712488035749,point_complete_observed
2025,52,Pays de la Loire,Pays de la Loire,1093.1302387671137,1093.1302387671137,1093.1302387671137,1093.1302387671137,point_complete_observed
2020,53,Bretagne,Bretagne,364.34360358760773,364.34360358760773,364.34360358760773,364.34360358760773,point_with_structural_zero
2021,53,Bretagne,Bretagne,454.32702847825647,454.32702847825647,454.32702847825647,454.32702847825647,point_with_structural_zero
2022,53,Bretagne,Bretagne,562.4129795572426,562.4129795572426,562.4129795572426,562.4129795572426,point_with_structural_zero
2023,53,Bretagne,Bretagne,670.189105477155,670.189105477155,670.189105477155,670.189105477155,point_with_structural_zero
