study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,11,Île-de-France,0,0-19 years,1,Male,observed,37,37,37,1595420.5,2.3191378072426674,2.3191378072426674,2.3191378072426674
2021,11,Île-de-France,0,0-19 years,1,Male,observed,42,42,42,1586378.5,2.647539663453583,2.647539663453583,2.647539663453583
2022,11,Île-de-France,0,0-19 years,1,Male,observed,98,98,98,1576460,6.21645966278878,6.21645966278878,6.21645966278878
2023,11,Île-de-France,0,0-19 years,1,Male,observed,143,143,143,1563586.5,9.145640487430661,9.145640487430661,9.145640487430661
2024,11,Île-de-France,0,0-19 years,1,Male,observed,159,159,159,1549333.5,10.262477381403036,10.262477381403036,10.262477381403036
2025,11,Île-de-France,0,0-19 years,1,Male,observed,184,184,184,1534059.5,11.994319646662989,11.994319646662989,11.994319646662989
2020,11,Île-de-France,0,0-19 years,2,Female,observed,53,53,53,1532256,3.4589520289037865,3.4589520289037865,3.4589520289037865
2021,11,Île-de-France,0,0-19 years,2,Female,observed,75,75,75,1522282.5,4.926812204699194,4.926812204699194,4.926812204699194
2022,11,Île-de-France,0,0-19 years,2,Female,observed,142,142,142,1513218.5,9.383971977609315,9.383971977609315,9.383971977609315
2023,11,Île-de-France,0,0-19 years,2,Female,observed,198,198,198,1501604.5,13.18589548712727,13.18589548712727,13.18589548712727
2024,11,Île-de-France,0,0-19 years,2,Female,observed,236,236,236,1485849,15.883175208247945,15.883175208247945,15.883175208247945
2025,11,Île-de-France,0,0-19 years,2,Female,observed,303,303,303,1468829.5,20.628670652380006,20.628670652380006,20.628670652380006
2020,11,Île-de-France,20,20-59 years,1,Male,observed,13988,13988,13988,3228572,433.2565604855645,433.2565604855645,433.2565604855645
2021,11,Île-de-France,20,20-59 years,1,Male,observed,17473,17473,17473,3250861.5,537.4882934877417,537.4882934877417,537.4882934877417
2022,11,Île-de-France,20,20-59 years,1,Male,observed,21468,21468,21468,3279826,654.5469180377252,654.5469180377252,654.5469180377252
2023,11,Île-de-France,20,20-59 years,1,Male,observed,25859,25859,25859,3302690,782.9678231986653,782.9678231986653,782.9678231986653
2024,11,Île-de-France,20,20-59 years,1,Male,observed,26803,26803,26803,3316422.5,808.1901506819472,808.1901506819472,808.1901506819472
2025,11,Île-de-France,20,20-59 years,1,Male,observed,31224,31224,31224,3331026.5,937.3687060129962,937.3687060129962,937.3687060129962
2020,11,Île-de-France,20,20-59 years,2,Female,observed,13412,13412,13412,3394529.5,395.1063026554932,395.1063026554932,395.1063026554932
2021,11,Île-de-France,20,20-59 years,2,Female,observed,16961,16961,16961,3411516,497.1690005264521,497.1690005264521,497.1690005264521
2022,11,Île-de-France,20,20-59 years,2,Female,observed,22000,22000,22000,3433196.5,640.8022377979239,640.8022377979239,640.8022377979239
2023,11,Île-de-France,20,20-59 years,2,Female,observed,27829,27829,27829,3447517,807.2186446071187,807.2186446071187,807.2186446071187
2024,11,Île-de-France,20,20-59 years,2,Female,observed,30025,30025,30025,3455806.5,868.8275804794048,868.8275804794048,868.8275804794048
2025,11,Île-de-France,20,20-59 years,2,Female,observed,36198,36198,36198,3466488.5,1044.2267441533413,1044.2267441533413,1044.2267441533413
2020,11,Île-de-France,60,60 years or older,1,Male,observed,18519,18519,18519,1116588.5,1658.5340078283093,1658.5340078283093,1658.5340078283093
2021,11,Île-de-France,60,60 years or older,1,Male,observed,23452,23452,23452,1133653.5,2068.709707154788,2068.709707154788,2068.709707154788
2022,11,Île-de-France,60,60 years or older,1,Male,observed,28919,28919,28919,1154286.5,2505.357205511803,2505.357205511803,2505.357205511803
2023,11,Île-de-France,60,60 years or older,1,Male,observed,34944,34944,34944,1179435,2962.774548830584,2962.774548830584,2962.774548830584
2024,11,Île-de-France,60,60 years or older,1,Male,observed,37323,37323,37323,1205669.5,3095.6244642499455,3095.6244642499455,3095.6244642499455
2025,11,Île-de-France,60,60 years or older,1,Male,observed,43381,43381,43381,1231916.5,3521.4237328585177,3521.4237328585177,3521.4237328585177
2020,11,Île-de-France,60,60 years or older,2,Female,observed,16109,16109,16109,1427170,1128.7372912827484,1128.7372912827484,1128.7372912827484
2021,11,Île-de-France,60,60 years or older,2,Female,observed,19975,19975,19975,1444429.5,1382.898923069627,1382.898923069627,1382.898923069627
2022,11,Île-de-France,60,60 years or older,2,Female,observed,24773,24773,24773,1465028,1690.9574424516118,1690.9574424516118,1690.9574424516118
2023,11,Île-de-France,60,60 years or older,2,Female,observed,30027,30027,30027,1490471.5,2014.5973941802981,2014.5973941802981,2014.5973941802981
2024,11,Île-de-France,60,60 years or older,2,Female,observed,32364,32364,32364,1515334,2135.766768250432,2135.766768250432,2135.766768250432
2025,11,Île-de-France,60,60 years or older,2,Female,observed,38090,38090,38090,1539574.5,2474.0602029976462,2474.0602029976462,2474.0602029976462
