study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,52,Pays de la Loire,0,0-19 years,1,Male,structural_zero_supported,0,0,0,483576,0,0,0
2021,52,Pays de la Loire,0,0-19 years,1,Male,observed,12,12,12,481945.5,2.4899080912675813,2.4899080912675813,2.4899080912675813
2022,52,Pays de la Loire,0,0-19 years,1,Male,structural_zero_supported,0,0,0,479983,0,0,0
2023,52,Pays de la Loire,0,0-19 years,1,Male,observed,11,11,11,477223,2.3050020640245754,2.3050020640245754,2.3050020640245754
2024,52,Pays de la Loire,0,0-19 years,1,Male,observed,14,14,14,473490.5,2.9567647080564448,2.9567647080564448,2.9567647080564448
2025,52,Pays de la Loire,0,0-19 years,1,Male,observed,19,19,19,469372,4.047961957679623,4.047961957679623,4.047961957679623
2020,52,Pays de la Loire,0,0-19 years,2,Female,structural_zero_supported,0,0,0,458475,0,0,0
2021,52,Pays de la Loire,0,0-19 years,2,Female,observed,11,11,11,455678.5,2.413982665409933,2.413982665409933,2.413982665409933
2022,52,Pays de la Loire,0,0-19 years,2,Female,observed,11,11,11,452480.5,2.4310439897409943,2.4310439897409943,2.4310439897409943
2023,52,Pays de la Loire,0,0-19 years,2,Female,observed,19,19,19,448809,4.233426691532478,4.233426691532478,4.233426691532478
2024,52,Pays de la Loire,0,0-19 years,2,Female,observed,16,16,16,444980.5,3.5956631807461226,3.5956631807461226,3.5956631807461226
2025,52,Pays de la Loire,0,0-19 years,2,Female,observed,27,27,27,440832,6.124782229965157,6.124782229965157,6.124782229965157
2020,52,Pays de la Loire,20,20-59 years,1,Male,observed,3828,3828,3828,924084,414.24805537158954,414.24805537158954,414.24805537158954
2021,52,Pays de la Loire,20,20-59 years,1,Male,observed,4717,4717,4717,931229,506.53491246514017,506.53491246514017,506.53491246514017
2022,52,Pays de la Loire,20,20-59 years,1,Male,observed,5755,5755,5755,938347.5,613.3122324085693,613.3122324085693,613.3122324085693
2023,52,Pays de la Loire,20,20-59 years,1,Male,observed,6619,6619,6619,944018.5,701.1515134502131,701.1515134502131,701.1515134502131
2024,52,Pays de la Loire,20,20-59 years,1,Male,observed,6623,6623,6623,949008,697.8866353076054,697.8866353076054,697.8866353076054
2025,52,Pays de la Loire,20,20-59 years,1,Male,observed,8026,8026,8026,954159.5,841.15915630458,841.15915630458,841.15915630458
2020,52,Pays de la Loire,20,20-59 years,2,Female,observed,3160,3160,3160,926228.5,341.16851295333714,341.16851295333714,341.16851295333714
2021,52,Pays de la Loire,20,20-59 years,2,Female,observed,3869,3869,3869,931317.5,415.43297532796277,415.43297532796277,415.43297532796277
2022,52,Pays de la Loire,20,20-59 years,2,Female,observed,4650,4650,4650,936565.5,496.49490612242283,496.49490612242283,496.49490612242283
2023,52,Pays de la Loire,20,20-59 years,2,Female,observed,5479,5479,5479,941074.5,582.2068284710722,582.2068284710722,582.2068284710722
2024,52,Pays de la Loire,20,20-59 years,2,Female,observed,5584,5584,5584,943976,591.5404628931244,591.5404628931244,591.5404628931244
2025,52,Pays de la Loire,20,20-59 years,2,Female,observed,6929,6929,6929,947575,731.2349945914572,731.2349945914572,731.2349945914572
2020,52,Pays de la Loire,60,60 years or older,1,Male,observed,6967,6967,6967,465900.5,1495.3836709769575,1495.3836709769575,1495.3836709769575
2021,52,Pays de la Loire,60,60 years or older,1,Male,observed,8846,8846,8846,473664.5,1867.5666004102059,1867.5666004102059,1867.5666004102059
2022,52,Pays de la Loire,60,60 years or older,1,Male,observed,11221,11221,11221,483430.5,2321.1195818219994,2321.1195818219994,2321.1195818219994
2023,52,Pays de la Loire,60,60 years or older,1,Male,observed,13426,13426,13426,493578,2720.1374453480503,2720.1374453480503,2720.1374453480503
2024,52,Pays de la Loire,60,60 years or older,1,Male,observed,13982,13982,13982,503189,2778.677594303532,2778.677594303532,2778.677594303532
2025,52,Pays de la Loire,60,60 years or older,1,Male,observed,16555,16555,16555,513029.5,3226.9099535211913,3226.9099535211913,3226.9099535211913
2020,52,Pays de la Loire,60,60 years or older,2,Female,observed,5163,5163,5163,584795.5,882.8727307238172,882.8727307238172,882.8727307238172
2021,52,Pays de la Loire,60,60 years or older,2,Female,observed,6514,6514,6514,592772.5,1098.9038796502873,1098.9038796502873,1098.9038796502873
2022,52,Pays de la Loire,60,60 years or older,2,Female,observed,8112,8112,8112,602379,1346.6604911525799,1346.6604911525799,1346.6604911525799
2023,52,Pays de la Loire,60,60 years or older,2,Female,observed,9781,9781,9781,612310.5,1597.392172762022,1597.392172762022,1597.392172762022
2024,52,Pays de la Loire,60,60 years or older,2,Female,observed,10074,10074,10074,621471,1620.9927735968372,1620.9927735968372,1620.9927735968372
2025,52,Pays de la Loire,60,60 years or older,2,Female,observed,11997,11997,11997,630324.5,1903.3053609688343,1903.3053609688343,1903.3053609688343
