study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,76,Occitanie,0,0-19 years,1,Male,ambiguous_due_to_unknown_age,,0,49,683536.5,,0,7.168600360039295
2021,76,Occitanie,0,0-19 years,1,Male,observed,14,14,14,685309.5,2.042872599898294,2.042872599898294,2.042872599898294
2022,76,Occitanie,0,0-19 years,1,Male,observed,23,23,23,685331.5,3.356040106138416,3.356040106138416,3.356040106138416
2023,76,Occitanie,0,0-19 years,1,Male,observed,37,37,37,682529.5,5.4210111064796465,5.4210111064796465,5.4210111064796465
2024,76,Occitanie,0,0-19 years,1,Male,observed,29,29,29,679326.5,4.268934010376454,4.268934010376454,4.268934010376454
2025,76,Occitanie,0,0-19 years,1,Male,observed,48,48,48,675018,7.110921486538137,7.110921486538137,7.110921486538137
2020,76,Occitanie,0,0-19 years,2,Female,ambiguous_due_to_unknown_age,,0,99,649662,,0,15.238693351311914
2021,76,Occitanie,0,0-19 years,2,Female,observed,15,15,15,650864.5,2.304627153578049,2.304627153578049,2.304627153578049
2022,76,Occitanie,0,0-19 years,2,Female,observed,44,44,44,650949,6.759362100563947,6.759362100563947,6.759362100563947
2023,76,Occitanie,0,0-19 years,2,Female,observed,57,57,57,648431.5,8.79044278385612,8.79044278385612,8.79044278385612
2024,76,Occitanie,0,0-19 years,2,Female,observed,48,48,48,645772,7.432963956318949,7.432963956318949,7.432963956318949
2025,76,Occitanie,0,0-19 years,2,Female,observed,71,71,71,641970.5,11.059698226008827,11.059698226008827,11.059698226008827
2020,76,Occitanie,20,20-59 years,1,Male,observed,6117,6117,6117,1425640,429.0704525686709,429.0704525686709,429.0704525686709
2021,76,Occitanie,20,20-59 years,1,Male,observed,7658,7658,7658,1436339.5,533.1608578612507,533.1608578612507,533.1608578612507
2022,76,Occitanie,20,20-59 years,1,Male,observed,8985,8985,8985,1446937.5,620.9666969029415,620.9666969029415,620.9666969029415
2023,76,Occitanie,20,20-59 years,1,Male,observed,10514,10514,10514,1454628,722.7964812996862,722.7964812996862,722.7964812996862
2024,76,Occitanie,20,20-59 years,1,Male,observed,10630,10630,10630,1461077.5,727.5452534174266,727.5452534174266,727.5452534174266
2025,76,Occitanie,20,20-59 years,1,Male,observed,13094,13094,13094,1468441.5,891.6936765952202,891.6936765952202,891.6936765952202
2020,76,Occitanie,20,20-59 years,2,Female,observed,5109,5109,5109,1469886,347.5779754348296,347.5779754348296,347.5779754348296
2021,76,Occitanie,20,20-59 years,2,Female,observed,6212,6212,6212,1479178,419.9629794385801,419.9629794385801,419.9629794385801
2022,76,Occitanie,20,20-59 years,2,Female,observed,7662,7662,7662,1488298,514.8162531966044,514.8162531966044,514.8162531966044
2023,76,Occitanie,20,20-59 years,2,Female,observed,9272,9272,9272,1495112,620.154209182991,620.154209182991,620.154209182991
2024,76,Occitanie,20,20-59 years,2,Female,observed,9556,9556,9556,1500044,637.0479799259222,637.0479799259222,637.0479799259222
2025,76,Occitanie,20,20-59 years,2,Female,observed,12309,12309,12309,1506151.5,817.2484640489354,817.2484640489354,817.2484640489354
2020,76,Occitanie,60,60 years or older,1,Male,observed,13352,13352,13352,789309.5,1691.6051308137048,1691.6051308137048,1691.6051308137048
2021,76,Occitanie,60,60 years or older,1,Male,observed,16677,16677,16677,804595,2072.7198155593805,2072.7198155593805,2072.7198155593805
2022,76,Occitanie,60,60 years or older,1,Male,observed,20492,20492,20492,820401.5,2497.801381396792,2497.801381396792,2497.801381396792
2023,76,Occitanie,60,60 years or older,1,Male,observed,24711,24711,24711,837147.5,2951.8095676090534,2951.8095676090534,2951.8095676090534
2024,76,Occitanie,60,60 years or older,1,Male,observed,25950,25950,25950,854689,3036.1921119845933,3036.1921119845933,3036.1921119845933
2025,76,Occitanie,60,60 years or older,1,Male,observed,30846,30846,30846,872436,3535.617512344745,3535.617512344745,3535.617512344745
2020,76,Occitanie,60,60 years or older,2,Female,observed,10283,10283,10283,980038.5,1049.2444939663085,1049.2444939663085,1049.2444939663085
2021,76,Occitanie,60,60 years or older,2,Female,observed,12637,12637,12637,995167,1269.8371228145627,1269.8371228145627,1269.8371228145627
2022,76,Occitanie,60,60 years or older,2,Female,observed,15364,15364,15364,1010774.5,1520.02251738642,1520.02251738642,1520.02251738642
2023,76,Occitanie,60,60 years or older,2,Female,observed,18509,18509,18509,1027412.5,1801.5159441801611,1801.5159441801611,1801.5159441801611
2024,76,Occitanie,60,60 years or older,2,Female,observed,19160,19160,19160,1044813,1833.820980405106,1833.820980405106,1833.820980405106
2025,76,Occitanie,60,60 years or older,2,Female,observed,23093,23093,23093,1062264,2173.941694343402,2173.941694343402,2173.941694343402
