study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,32,Hauts-de-France,0,0-19 years,1,Male,structural_zero_supported,0,0,0,785346,0,0,0
2021,32,Hauts-de-France,0,0-19 years,1,Male,structural_zero_supported,0,0,0,777469.5,0,0,0
2022,32,Hauts-de-France,0,0-19 years,1,Male,observed,12,12,12,769051.5,1.5603636427469423,1.5603636427469423,1.5603636427469423
2023,32,Hauts-de-France,0,0-19 years,1,Male,observed,35,35,35,759896,4.605893438049417,4.605893438049417,4.605893438049417
2024,32,Hauts-de-France,0,0-19 years,1,Male,observed,24,24,24,750191,3.1991852741501834,3.1991852741501834,3.1991852741501834
2025,32,Hauts-de-France,0,0-19 years,1,Male,observed,44,44,44,739871.5,5.946978630748718,5.946978630748718,5.946978630748718
2020,32,Hauts-de-France,0,0-19 years,2,Female,structural_zero_supported,0,0,0,748117,0,0,0
2021,32,Hauts-de-France,0,0-19 years,2,Female,observed,11,11,11,740536.5,1.485409564552186,1.485409564552186,1.485409564552186
2022,32,Hauts-de-France,0,0-19 years,2,Female,observed,35,35,35,731197,4.786671717745013,4.786671717745013,4.786671717745013
2023,32,Hauts-de-France,0,0-19 years,2,Female,observed,55,55,55,720791.5,7.630500637146803,7.630500637146803,7.630500637146803
2024,32,Hauts-de-France,0,0-19 years,2,Female,observed,62,62,62,710875.5,8.721639724536855,8.721639724536855,8.721639724536855
2025,32,Hauts-de-France,0,0-19 years,2,Female,observed,61,61,61,700695,8.705642255189492,8.705642255189492,8.705642255189492
2020,32,Hauts-de-France,20,20-59 years,1,Male,observed,10204,10204,10204,1477367,690.688231157187,690.688231157187,690.688231157187
2021,32,Hauts-de-France,20,20-59 years,1,Male,observed,12139,12139,12139,1477415,821.637793037163,821.637793037163,821.637793037163
2022,32,Hauts-de-France,20,20-59 years,1,Male,observed,14184,14184,14184,1477636.5,959.9113178376414,959.9113178376414,959.9113178376414
2023,32,Hauts-de-France,20,20-59 years,1,Male,observed,16594,16594,16594,1475188,1124.873575435809,1124.873575435809,1124.873575435809
2024,32,Hauts-de-France,20,20-59 years,1,Male,observed,16091,16091,16091,1470653,1094.139814082588,1094.139814082588,1094.139814082588
2025,32,Hauts-de-France,20,20-59 years,1,Male,observed,18796,18796,18796,1466755.5,1281.467838368426,1281.467838368426,1281.467838368426
2020,32,Hauts-de-France,20,20-59 years,2,Female,observed,8468,8468,8468,1501386,564.0121860734015,564.0121860734015,564.0121860734015
2021,32,Hauts-de-France,20,20-59 years,2,Female,observed,10161,10161,10161,1499474,677.6376249271411,677.6376249271411,677.6376249271411
2022,32,Hauts-de-France,20,20-59 years,2,Female,observed,11950,11950,11950,1497010,798.2578606689335,798.2578606689335,798.2578606689335
2023,32,Hauts-de-France,20,20-59 years,2,Female,observed,14073,14073,14073,1491557.5,943.5103909839211,943.5103909839211,943.5103909839211
2024,32,Hauts-de-France,20,20-59 years,2,Female,observed,13926,13926,13926,1485263,937.6117226376743,937.6117226376743,937.6117226376743
2025,32,Hauts-de-France,20,20-59 years,2,Female,observed,16779,16779,16779,1479582.5,1134.036121676216,1134.036121676216,1134.036121676216
2020,32,Hauts-de-France,60,60 years or older,1,Male,observed,16166,16166,16166,643729.5,2511.3032725702333,2511.3032725702333,2511.3032725702333
2021,32,Hauts-de-France,60,60 years or older,1,Male,observed,20065,20065,20065,653115,3072.2001485190203,3072.2001485190203,3072.2001485190203
2022,32,Hauts-de-France,60,60 years or older,1,Male,observed,24790,24790,24790,663229,3737.773830758305,3737.773830758305,3737.773830758305
2023,32,Hauts-de-France,60,60 years or older,1,Male,observed,29679,29679,29679,674161.5,4402.357595323969,4402.357595323969,4402.357595323969
2024,32,Hauts-de-France,60,60 years or older,1,Male,observed,30467,30467,30467,686054,4440.904068775927,4440.904068775927,4440.904068775927
2025,32,Hauts-de-France,60,60 years or older,1,Male,observed,34600,34600,34600,697760.5,4958.72150974439,4958.72150974439,4958.72150974439
2020,32,Hauts-de-France,60,60 years or older,2,Female,observed,14488,14488,14488,840567.5,1723.5974505319323,1723.5974505319323,1723.5974505319323
2021,32,Hauts-de-France,60,60 years or older,2,Female,observed,17781,17781,17781,849094,2094.114432559881,2094.114432559881,2094.114432559881
2022,32,Hauts-de-France,60,60 years or older,2,Female,observed,21800,21800,21800,857431,2542.478636764941,2542.478636764941,2542.478636764941
2023,32,Hauts-de-France,60,60 years or older,2,Female,observed,25803,25803,25803,866422.5,2978.108255498905,2978.108255498905,2978.108255498905
2024,32,Hauts-de-France,60,60 years or older,2,Female,observed,26041,26041,26041,876107,2972.353833492941,2972.353833492941,2972.353833492941
2025,32,Hauts-de-France,60,60 years or older,2,Female,observed,29725,29725,29725,885440.5,3357.086105729295,3357.086105729295,3357.086105729295
