study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,84,Auvergne-Rhône-Alpes,0,0-19 years,1,Male,structural_zero_supported,0,0,0,1002465.5,0,0,0
2021,84,Auvergne-Rhône-Alpes,0,0-19 years,1,Male,observed,13,13,13,999057,1.3012270571148592,1.3012270571148592,1.3012270571148592
2022,84,Auvergne-Rhône-Alpes,0,0-19 years,1,Male,observed,12,12,12,995818.5,1.2050388700350514,1.2050388700350514,1.2050388700350514
2023,84,Auvergne-Rhône-Alpes,0,0-19 years,1,Male,observed,30,30,30,989603.5,3.0315171682396027,3.0315171682396027,3.0315171682396027
2024,84,Auvergne-Rhône-Alpes,0,0-19 years,1,Male,observed,39,39,39,982023,3.971393745360343,3.971393745360343,3.971393745360343
2025,84,Auvergne-Rhône-Alpes,0,0-19 years,1,Male,observed,48,48,48,974081.5,4.927719087160572,4.927719087160572,4.927719087160572
2020,84,Auvergne-Rhône-Alpes,0,0-19 years,2,Female,structural_zero_supported,0,0,0,951639,0,0,0
2021,84,Auvergne-Rhône-Alpes,0,0-19 years,2,Female,observed,11,11,11,948420,1.1598237067965669,1.1598237067965669,1.1598237067965669
2022,84,Auvergne-Rhône-Alpes,0,0-19 years,2,Female,observed,32,32,32,943354,3.3921518327160323,3.3921518327160323,3.3921518327160323
2023,84,Auvergne-Rhône-Alpes,0,0-19 years,2,Female,observed,29,29,29,936539.5,3.0965058067492084,3.0965058067492084,3.0965058067492084
2024,84,Auvergne-Rhône-Alpes,0,0-19 years,2,Female,observed,55,55,55,928951.5,5.920653554033769,5.920653554033769,5.920653554033769
2025,84,Auvergne-Rhône-Alpes,0,0-19 years,2,Female,observed,67,67,67,920772,7.276502760726868,7.276502760726868,7.276502760726868
2020,84,Auvergne-Rhône-Alpes,20,20-59 years,1,Male,observed,9006,9006,9006,1996787.5,451.0244580357199,451.0244580357199,451.0244580357199
2021,84,Auvergne-Rhône-Alpes,20,20-59 years,1,Male,observed,10703,10703,10703,2009362.5,532.6565017511773,532.6565017511773,532.6565017511773
2022,84,Auvergne-Rhône-Alpes,20,20-59 years,1,Male,observed,12605,12605,12605,2020833,623.7526802066276,623.7526802066276,623.7526802066276
2023,84,Auvergne-Rhône-Alpes,20,20-59 years,1,Male,observed,14796,14796,14796,2028451,729.4235847945057,729.4235847945057,729.4235847945057
2024,84,Auvergne-Rhône-Alpes,20,20-59 years,1,Male,observed,14417,14417,14417,2034351.5,708.6779251274914,708.6779251274914,708.6779251274914
2025,84,Auvergne-Rhône-Alpes,20,20-59 years,1,Male,observed,17783,17783,17783,2040409,871.5409508583817,871.5409508583817,871.5409508583817
2020,84,Auvergne-Rhône-Alpes,20,20-59 years,2,Female,observed,7063,7063,7063,2022237,349.2666784358114,349.2666784358114,349.2666784358114
2021,84,Auvergne-Rhône-Alpes,20,20-59 years,2,Female,observed,8240,8240,8240,2032001,405.5116114608211,405.5116114608211,405.5116114608211
2022,84,Auvergne-Rhône-Alpes,20,20-59 years,2,Female,observed,9931,9931,9931,2040354,486.7292636473867,486.7292636473867,486.7292636473867
2023,84,Auvergne-Rhône-Alpes,20,20-59 years,2,Female,observed,11973,11973,11973,2044665.5,585.5725545327585,585.5725545327585,585.5725545327585
2024,84,Auvergne-Rhône-Alpes,20,20-59 years,2,Female,observed,12162,12162,12162,2047206,594.0779774971351,594.0779774971351,594.0779774971351
2025,84,Auvergne-Rhône-Alpes,20,20-59 years,2,Female,observed,15543,15543,15543,2050630.5,757.9620024182807,757.9620024182807,757.9620024182807
2020,84,Auvergne-Rhône-Alpes,60,60 years or older,1,Male,observed,15530,15530,15530,942026.5,1648.573580467216,1648.573580467216,1648.573580467216
2021,84,Auvergne-Rhône-Alpes,60,60 years or older,1,Male,observed,19258,19258,19258,955991.5,2014.45305737551,2014.45305737551,2014.45305737551
2022,84,Auvergne-Rhône-Alpes,60,60 years or older,1,Male,observed,23658,23658,23658,974319.5,2428.156267015081,2428.156267015081,2428.156267015081
2023,84,Auvergne-Rhône-Alpes,60,60 years or older,1,Male,observed,28348,28348,28348,994924.5,2849.2614263695386,2849.2614263695386,2849.2614263695386
2024,84,Auvergne-Rhône-Alpes,60,60 years or older,1,Male,observed,29037,29037,29037,1015693.5,2858.8348748908998,2858.8348748908998,2858.8348748908998
2025,84,Auvergne-Rhône-Alpes,60,60 years or older,1,Male,observed,34693,34693,34693,1036698.5,3346.4888779138773,3346.4888779138773,3346.4888779138773
2020,84,Auvergne-Rhône-Alpes,60,60 years or older,2,Female,observed,12622,12622,12622,1181351,1068.437746275239,1068.437746275239,1068.437746275239
2021,84,Auvergne-Rhône-Alpes,60,60 years or older,2,Female,observed,15431,15431,15431,1194290.5,1292.0642004604406,1292.0642004604406,1292.0642004604406
2022,84,Auvergne-Rhône-Alpes,60,60 years or older,2,Female,observed,18636,18636,18636,1210041.5,1540.1124672170336,1540.1124672170336,1540.1124672170336
2023,84,Auvergne-Rhône-Alpes,60,60 years or older,2,Female,observed,22249,22249,22249,1227762,1812.1590340798948,1812.1590340798948,1812.1590340798948
2024,84,Auvergne-Rhône-Alpes,60,60 years or older,2,Female,observed,22556,22556,22556,1245986,1810.2932135674077,1810.2932135674077,1810.2932135674077
2025,84,Auvergne-Rhône-Alpes,60,60 years or older,2,Female,observed,27148,27148,27148,1264048,2147.703251775249,2147.703251775249,2147.703251775249
