study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,5,Overseas regions and departments,0,0-19 years,1,Male,structural_zero_supported,0,0,0,353563.5,0,0,0
2021,5,Overseas regions and departments,0,0-19 years,1,Male,structural_zero_supported,0,0,0,354037,0,0,0
2022,5,Overseas regions and departments,0,0-19 years,1,Male,structural_zero_supported,0,0,0,354811.5,0,0,0
2023,5,Overseas regions and departments,0,0-19 years,1,Male,observed,14,14,14,356525.5,3.926787845469679,3.926787845469679,3.926787845469679
2024,5,Overseas regions and departments,0,0-19 years,1,Male,observed,28,28,28,356499,7.854159478708215,7.854159478708215,7.854159478708215
2025,5,Overseas regions and departments,0,0-19 years,1,Male,observed,31,31,31,355416.5,8.722161182725056,8.722161182725056,8.722161182725056
2020,5,Overseas regions and departments,0,0-19 years,2,Female,structural_zero_supported,0,0,0,347694.5,0,0,0
2021,5,Overseas regions and departments,0,0-19 years,2,Female,observed,29,29,29,348114.5,8.330592376933453,8.330592376933453,8.330592376933453
2022,5,Overseas regions and departments,0,0-19 years,2,Female,observed,50,50,50,349072,14.323692533345557,14.323692533345557,14.323692533345557
2023,5,Overseas regions and departments,0,0-19 years,2,Female,observed,71,71,71,349990.5,20.28626491290478,20.28626491290478,20.28626491290478
2024,5,Overseas regions and departments,0,0-19 years,2,Female,observed,88,88,88,349536.5,25.176197621707608,25.176197621707608,25.176197621707608
2025,5,Overseas regions and departments,0,0-19 years,2,Female,observed,94,94,94,348149.5,26.99989515998156,26.99989515998156,26.99989515998156
2020,5,Overseas regions and departments,20,20-59 years,1,Male,observed,3646,3646,3646,486361,749.6489233306124,749.6489233306124,749.6489233306124
2021,5,Overseas regions and departments,20,20-59 years,1,Male,observed,4447,4447,4447,487389.5,912.4119415785527,912.4119415785527,912.4119415785527
2022,5,Overseas regions and departments,20,20-59 years,1,Male,observed,5392,5392,5392,488210.5,1104.4416291743007,1104.4416291743007,1104.4416291743007
2023,5,Overseas regions and departments,20,20-59 years,1,Male,observed,6424,6424,6424,487729,1317.1248787748934,1317.1248787748934,1317.1248787748934
2024,5,Overseas regions and departments,20,20-59 years,1,Male,observed,7038,7038,7038,486423.5,1446.8873317181426,1446.8873317181426,1446.8873317181426
2025,5,Overseas regions and departments,20,20-59 years,1,Male,observed,7627,7627,7627,485073.5,1572.3390372799174,1572.3390372799174,1572.3390372799174
2020,5,Overseas regions and departments,20,20-59 years,2,Female,observed,6664,6664,6664,576564,1155.8127111647623,1155.8127111647623,1155.8127111647623
2021,5,Overseas regions and departments,20,20-59 years,2,Female,observed,8091,8091,8091,578656,1398.2400597246033,1398.2400597246033,1398.2400597246033
2022,5,Overseas regions and departments,20,20-59 years,2,Female,observed,9701,9701,9701,580840.5,1670.165906130857,1670.165906130857,1670.165906130857
2023,5,Overseas regions and departments,20,20-59 years,2,Female,observed,11904,11904,11904,582137,2044.8794699529492,2044.8794699529492,2044.8794699529492
2024,5,Overseas regions and departments,20,20-59 years,2,Female,observed,13123,13123,13123,581824,2255.4930700692994,2255.4930700692994,2255.4930700692994
2025,5,Overseas regions and departments,20,20-59 years,2,Female,observed,14515,14515,14515,581547.5,2495.9268159522653,2495.9268159522653,2495.9268159522653
2020,5,Overseas regions and departments,60,60 years or older,1,Male,observed,3919,3919,3919,188690.5,2076.9461101645284,2076.9461101645284,2076.9461101645284
2021,5,Overseas regions and departments,60,60 years or older,1,Male,observed,5114,5114,5114,196627.5,2600.8569503248527,2600.8569503248527,2600.8569503248527
2022,5,Overseas regions and departments,60,60 years or older,1,Male,observed,6423,6423,6423,205912,3119.2936788531024,3119.2936788531024,3119.2936788531024
2023,5,Overseas regions and departments,60,60 years or older,1,Male,observed,7967,7967,7967,215033,3705.0127189780173,3705.0127189780173,3705.0127189780173
2024,5,Overseas regions and departments,60,60 years or older,1,Male,observed,9089,9089,9089,224188.5,4054.177622848629,4054.177622848629,4054.177622848629
2025,5,Overseas regions and departments,60,60 years or older,1,Male,observed,10246,10246,10246,233490.5,4388.18709968928,4388.18709968928,4388.18709968928
2020,5,Overseas regions and departments,60,60 years or older,2,Female,observed,6442,6442,6442,229413.5,2808.0300418240427,2808.0300418240427,2808.0300418240427
2021,5,Overseas regions and departments,60,60 years or older,2,Female,observed,8141,8141,8141,238090.5,3419.288043832072,3419.288043832072,3419.288043832072
2022,5,Overseas regions and departments,60,60 years or older,2,Female,observed,9983,9983,9983,247643.5,4031.198073036441,4031.198073036441,4031.198073036441
2023,5,Overseas regions and departments,60,60 years or older,2,Female,observed,12158,12158,12158,257362,4724.085140774473,4724.085140774473,4724.085140774473
2024,5,Overseas regions and departments,60,60 years or older,2,Female,observed,13759,13759,13759,267516,5143.243768597019,5143.243768597019,5143.243768597019
2025,5,Overseas regions and departments,60,60 years or older,2,Female,observed,15540,15540,15540,277622.5,5597.529018721465,5597.529018721465,5597.529018721465
