study_year,region_code,region_name,region_display,beneficiaries_percentage_change,beneficiary_rate_percentage_change,boxes_percentage_change,expenditure_percentage_change,standardised_rate_percentage_change
2023,11,Île-de-France,Île-de-France,22.177845768437045,21.558516565786157,21.459936442831705,18.48905141780812,20.164329932948988
2023,24,Centre-Val de Loire,Centre-Val de Loire,21.426342072409497,21.275962195639096,21.895710594724193,20.05458259401305,20.63423313824446
2023,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,19.41396628386809,19.494892032367495,19.139492440638683,17.013311270921673,18.691145048074166
2023,28,Normandie,Normandie,17.662880106319022,17.489131094364517,18.590144840880573,17.276362711717464,16.518416611673416
2023,32,Hauts-de-France,Hauts-de-France,18.50737244231906,18.6565551472897,18.866081583414186,16.837796752016445,17.581273754099215
2023,44,Grand Est,Grand Est,20.40466112082633,20.433049368782406,20.141589503069124,18.18861499885398,19.427226162450275
2023,5,Overseas regions and departments,Overseas regions/departments,22.15284161146154,20.942218957016646,19.200764480235065,17.33692411060992,19.20031494118659
2023,52,Pays de la Loire,Pays de la Loire,18.77710175131937,18.0545713357414,20.297568847244452,18.840877869249862,17.09381103471039
2023,53,Bretagne,Bretagne,21.10747545935061,20.28716089085836,21.872610773776337,20.38227953619225,19.16316476279738
2023,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,19.061917768572624,18.40057830871158,18.92318164752611,17.269525970535593,17.538134651575543
2023,76,Occitanie,Occitanie,20.000379261956237,19.169121461058538,19.33797243304212,17.57384605900998,18.333320662587326
2023,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,19.3467336683417,18.806382049130033,18.32540763465662,16.544417742480345,17.80963516576484
2023,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,21.11366310010643,20.143434213857425,20.154904039438538,18.26259670518049,19.362432101258232
2024,11,Île-de-France,Île-de-France,6.647058823529406,6.280084387464524,4.126354247120934,3.0100900792736196,5.318360186983528
2024,24,Centre-Val de Loire,Centre-Val de Loire,0.9349697982264482,0.9101080652990978,-3.764955628120148,-5.1378839929063,0.24040073339437473
2024,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,-0.31609965175461996,-0.2129438240292214,-6.490243278659136,-7.973396987461179,-1.0103848996665499
2024,28,Normandie,Normandie,1.363453005244053,1.2856899218551376,-3.3544639527738562,-4.794388026249519,0.4155231928844927
2024,32,Hauts-de-France,Hauts-de-France,0.4313593617736755,0.5804070752625234,-5.471440900600555,-6.935173644763859,-0.3251920384343632
2024,44,Grand Est,Grand Est,1.438809859919643,1.5595671732627547,-2.7479650407527534,-4.350829061314543,0.649324910374971
2024,5,Overseas regions and departments,Overseas regions/departments,11.902537754943165,11.052621934122687,13.456408676326692,11.897088544105362,9.545510589030904
2024,52,Pays de la Loire,Pays de la Loire,2.7111928682609365,2.2127476118156686,0.02622100164226815,-1.3524661671689864,1.3888776643101286
2024,53,Bretagne,Bretagne,6.613184803391814,6.00218183695429,3.52482636921434,1.9660706122632376,5.070099109087978
2024,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,4.009358715303635,3.502535747722013,0.8341016884141794,-0.7040755603104909,2.6958823630298667
2024,76,Occitanie,Occitanie,3.584014159068283,2.906467900621812,1.6764251215468207,0.16637695976580158,2.1085237599673734
2024,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,1.0862124636745296,0.6910690646658502,-2.0373705247220597,-3.4812933141705527,-0.16390327004465188
2024,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,6.8609312365094155,6.168695956164272,3.939927199093596,2.596196593697031,5.319996831405804
2025,11,Île-de-France,Île-de-France,17.71491608226301,17.30779809796099,15.667075839714828,14.092700568805183,15.991243228348795
2025,24,Centre-Val de Loire,Centre-Val de Loire,19.608467292694563,19.57889778661246,19.120409877259426,17.08798214074545,18.998877487629294
2025,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,17.273997635171455,17.40272607248743,19.20820163480055,17.56456319837043,16.807925337572005
2025,28,Normandie,Normandie,19.386076621033645,19.301211770666438,19.304571341622466,17.601887370905022,18.546806811175244
2025,32,Hauts-de-France,Hauts-de-France,15.479558023807606,15.654379766140147,16.39743321723046,14.355871965356481,14.425542513088985
2025,44,Grand Est,Grand Est,19.0734892683188,19.21501105858465,18.739181386407488,16.820447007062043,18.213802790096857
2025,5,Overseas regions and departments,Overseas regions/departments,11.427246376811585,10.679326458280514,9.614920389052607,7.399631693900877,9.127127419766135
2025,52,Pays de la Loire,Pays de la Loire,20.003857493180497,19.422010770826702,19.083609271523173,17.43976956506583,18.513043439399656
2025,53,Bretagne,Bretagne,24.850871379001127,24.13117785099217,21.929354731512785,19.45950815848123,23.29426282965239
2025,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,21.802512416009346,21.21662390953112,19.875524682191447,17.516139396227825,20.60007939348134
2025,76,Occitanie,Occitanie,21.53198370684526,20.740295041121136,19.41169983141908,17.264080571011718,20.02498227395515
2025,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,21.756573735721773,21.280105298413467,20.364228585746027,18.098062528967553,20.189175465782338
2025,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,20.14427932477276,19.372279618301235,18.22837184060264,16.40675425073892,18.619683079401472
