study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,53,Bretagne,0,0-19 years,1,Male,structural_zero_supported,0,0,0,400785,0,0,0
2021,53,Bretagne,0,0-19 years,1,Male,structural_zero_supported,0,0,0,398916.5,0,0,0
2022,53,Bretagne,0,0-19 years,1,Male,structural_zero_supported,0,0,0,396985.5,0,0,0
2023,53,Bretagne,0,0-19 years,1,Male,structural_zero_supported,0,0,0,394190,0,0,0
2024,53,Bretagne,0,0-19 years,1,Male,structural_zero_supported,0,0,0,391092,0,0,0
2025,53,Bretagne,0,0-19 years,1,Male,structural_zero_supported,0,0,0,387829,0,0,0
2020,53,Bretagne,0,0-19 years,2,Female,structural_zero_supported,0,0,0,379728,0,0,0
2021,53,Bretagne,0,0-19 years,2,Female,structural_zero_supported,0,0,0,377894.5,0,0,0
2022,53,Bretagne,0,0-19 years,2,Female,structural_zero_supported,0,0,0,375640.5,0,0,0
2023,53,Bretagne,0,0-19 years,2,Female,structural_zero_supported,0,0,0,372789,0,0,0
2024,53,Bretagne,0,0-19 years,2,Female,structural_zero_supported,0,0,0,370031,0,0,0
2025,53,Bretagne,0,0-19 years,2,Female,structural_zero_supported,0,0,0,367287.5,0,0,0
2020,53,Bretagne,20,20-59 years,1,Male,observed,2507,2507,2507,805181,311.35856409925225,311.35856409925225,311.35856409925225
2021,53,Bretagne,20,20-59 years,1,Male,observed,3139,3139,3139,811131,386.9905107806261,386.9905107806261,386.9905107806261
2022,53,Bretagne,20,20-59 years,1,Male,observed,3834,3834,3834,816743.5,469.42522346367,469.42522346367,469.42522346367
2023,53,Bretagne,20,20-59 years,1,Male,observed,4500,4500,4500,820726,548.2950460933369,548.2950460933369,548.2950460933369
2024,53,Bretagne,20,20-59 years,1,Male,observed,4641,4641,4641,823973,563.2466112360478,563.2466112360478,563.2466112360478
2025,53,Bretagne,20,20-59 years,1,Male,observed,5781,5781,5781,827493,698.616181647458,698.616181647458,698.616181647458
2020,53,Bretagne,20,20-59 years,2,Female,observed,1911,1911,1911,800167,238.82514525092887,238.82514525092887,238.82514525092887
2021,53,Bretagne,20,20-59 years,2,Female,observed,2360,2360,2360,804487.5,293.354464799018,293.354464799018,293.354464799018
2022,53,Bretagne,20,20-59 years,2,Female,observed,2925,2925,2925,809697.5,361.24602089051774,361.24602089051774,361.24602089051774
2023,53,Bretagne,20,20-59 years,2,Female,observed,3485,3485,3485,813645,428.31947593852357,428.31947593852357,428.31947593852357
2024,53,Bretagne,20,20-59 years,2,Female,observed,3716,3716,3716,816332,455.20695011343423,455.20695011343423,455.20695011343423
2025,53,Bretagne,20,20-59 years,2,Female,observed,4878,4878,4878,819109,595.525137680089,595.525137680089,595.525137680089
2020,53,Bretagne,60,60 years or older,1,Male,observed,4765,4765,4765,439464.5,1084.2741563880586,1084.2741563880586,1084.2741563880586
2021,53,Bretagne,60,60 years or older,1,Male,observed,6159,6159,6159,448388,1373.5871611193877,1373.5871611193877,1373.5871611193877
2022,53,Bretagne,60,60 years or older,1,Male,observed,7875,7875,7875,459004,1715.6713231257243,1715.6713231257243,1715.6713231257243
2023,53,Bretagne,60,60 years or older,1,Male,observed,9647,9647,9647,470042.5,2052.3676050569898,2052.3676050569898,2052.3676050569898
2024,53,Bretagne,60,60 years or older,1,Male,observed,10338,10338,10338,480526.5,2151.390193881087,2151.390193881087,2151.390193881087
2025,53,Bretagne,60,60 years or older,1,Male,observed,12692,12692,12692,490975.5,2585.0577065454386,2585.0577065454386,2585.0577065454386
2020,53,Bretagne,60,60 years or older,2,Female,observed,3294,3294,3294,558875.5,589.3978175819122,589.3978175819122,589.3978175819122
2021,53,Bretagne,60,60 years or older,2,Female,observed,4126,4126,4126,567888.5,726.551074726817,726.551074726817,726.551074726817
2022,53,Bretagne,60,60 years or older,2,Female,observed,5231,5231,5231,578036.5,904.9601539003161,904.9601539003161,904.9601539003161
2023,53,Bretagne,60,60 years or older,2,Female,observed,6426,6426,6426,588148,1092.5821391894558,1092.5821391894558,1092.5821391894558
2024,53,Bretagne,60,60 years or older,2,Female,observed,6954,6954,6954,597527,1163.796782404812,1163.796782404812,1163.796782404812
2025,53,Bretagne,60,60 years or older,2,Female,observed,8672,8672,8672,606961,1428.7573666182836,1428.7573666182836,1428.7573666182836
