study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,75,Nouvelle-Aquitaine,0,0-19 years,1,Male,structural_zero_supported,0,0,0,666260.5,0,0,0
2021,75,Nouvelle-Aquitaine,0,0-19 years,1,Male,ambiguous_due_to_unknown_age,,0,11,663637.5,,0,1.6575314083366295
2022,75,Nouvelle-Aquitaine,0,0-19 years,1,Male,observed,24,24,24,661065,3.630505320959361,3.630505320959361,3.630505320959361
2023,75,Nouvelle-Aquitaine,0,0-19 years,1,Male,observed,20,20,20,657810,3.040391602438394,3.040391602438394,3.040391602438394
2024,75,Nouvelle-Aquitaine,0,0-19 years,1,Male,observed,16,16,16,653943.5,2.446694553887301,2.446694553887301,2.446694553887301
2025,75,Nouvelle-Aquitaine,0,0-19 years,1,Male,observed,13,13,13,649227.5,2.002379751319838,2.002379751319838,2.002379751319838
2020,75,Nouvelle-Aquitaine,0,0-19 years,2,Female,ambiguous_due_to_unknown_age,,0,12,632559.5,,0,1.8970547434668201
2021,75,Nouvelle-Aquitaine,0,0-19 years,2,Female,ambiguous_due_to_unknown_age,,0,24,629502,,0,3.8125375296663075
2022,75,Nouvelle-Aquitaine,0,0-19 years,2,Female,observed,11,11,11,626426.5,1.7559921235771474,1.7559921235771474,1.7559921235771474
2023,75,Nouvelle-Aquitaine,0,0-19 years,2,Female,observed,36,36,36,623606.5,5.77287119361328,5.77287119361328,5.77287119361328
2024,75,Nouvelle-Aquitaine,0,0-19 years,2,Female,observed,27,27,27,620032,4.354613955408753,4.354613955408753,4.354613955408753
2025,75,Nouvelle-Aquitaine,0,0-19 years,2,Female,observed,37,37,37,615562,6.010767396298017,6.010767396298017,6.010767396298017
2020,75,Nouvelle-Aquitaine,20,20-59 years,1,Male,observed,6604,6604,6604,1413714,467.13833208131206,467.13833208131206,467.13833208131206
2021,75,Nouvelle-Aquitaine,20,20-59 years,1,Male,observed,7940,7940,7940,1424089.5,557.5492270675403,557.5492270675403,557.5492270675403
2022,75,Nouvelle-Aquitaine,20,20-59 years,1,Male,observed,9390,9390,9390,1433221.5,655.1673973632129,655.1673973632129,655.1673973632129
2023,75,Nouvelle-Aquitaine,20,20-59 years,1,Male,observed,11000,11000,11000,1438423,764.7263704765566,764.7263704765566,764.7263704765566
2024,75,Nouvelle-Aquitaine,20,20-59 years,1,Male,observed,11157,11157,11157,1443278,773.0319453355486,773.0319453355486,773.0319453355486
2025,75,Nouvelle-Aquitaine,20,20-59 years,1,Male,observed,13593,13593,13593,1448683,938.3005115680932,938.3005115680932,938.3005115680932
2020,75,Nouvelle-Aquitaine,20,20-59 years,2,Female,observed,5250,5250,5250,1453268,361.2547720035121,361.2547720035121,361.2547720035121
2021,75,Nouvelle-Aquitaine,20,20-59 years,2,Female,observed,6213,6213,6213,1459874,425.5846737458165,425.5846737458165,425.5846737458165
2022,75,Nouvelle-Aquitaine,20,20-59 years,2,Female,observed,7302,7302,7302,1466651,497.8689545092868,497.8689545092868,497.8689545092868
2023,75,Nouvelle-Aquitaine,20,20-59 years,2,Female,observed,8680,8680,8680,1469114.5,590.8320964771636,590.8320964771636,590.8320964771636
2024,75,Nouvelle-Aquitaine,20,20-59 years,2,Female,observed,8985,8985,8985,1470309.5,611.0958271030692,611.0958271030692,611.0958271030692
2025,75,Nouvelle-Aquitaine,20,20-59 years,2,Female,observed,11657,11657,11657,1472097,791.8635796418307,791.8635796418307,791.8635796418307
2020,75,Nouvelle-Aquitaine,60,60 years or older,1,Male,observed,14078,14078,14078,834710.5,1686.5727698405615,1686.5727698405615,1686.5727698405615
2021,75,Nouvelle-Aquitaine,60,60 years or older,1,Male,observed,17930,17930,17930,848828,2112.3242871347315,2112.3242871347315,2112.3242871347315
2022,75,Nouvelle-Aquitaine,60,60 years or older,1,Male,observed,22350,22350,22350,865153,2583.3580881069593,2583.3580881069593,2583.3580881069593
2023,75,Nouvelle-Aquitaine,60,60 years or older,1,Male,observed,26814,26814,26814,882525,3038.3275261324043,3038.3275261324043,3038.3275261324043
2024,75,Nouvelle-Aquitaine,60,60 years or older,1,Male,observed,28116,28116,28116,898749,3128.348404281952,3128.348404281952,3128.348404281952
2025,75,Nouvelle-Aquitaine,60,60 years or older,1,Male,observed,33650,33650,33650,915111,3677.1495479783325,3677.1495479783325,3677.1495479783325
2020,75,Nouvelle-Aquitaine,60,60 years or older,2,Female,observed,10904,10904,10904,1051139.5,1037.3504182841573,1037.3504182841573,1037.3504182841573
2021,75,Nouvelle-Aquitaine,60,60 years or older,2,Female,observed,13347,13347,13347,1065437,1252.7254075088438,1252.7254075088438,1252.7254075088438
2022,75,Nouvelle-Aquitaine,60,60 years or older,2,Female,observed,16183,16183,16183,1079400.5,1499.2581530210518,1499.2581530210518,1499.2581530210518
2023,75,Nouvelle-Aquitaine,60,60 years or older,2,Female,observed,19248,19248,19248,1094689,1758.3076106547155,1758.3076106547155,1758.3076106547155
2024,75,Nouvelle-Aquitaine,60,60 years or older,2,Female,observed,20125,20125,20125,1110050,1812.9813972343588,1812.9813972343588,1812.9813972343588
2025,75,Nouvelle-Aquitaine,60,60 years or older,2,Female,observed,24401,24401,24401,1125631,2167.7619042119486,2167.7619042119486,2167.7619042119486
