study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,28,Normandie,0,0-19 years,1,Male,structural_zero_supported,0,0,0,404690.5,0,0,0
2021,28,Normandie,0,0-19 years,1,Male,structural_zero_supported,0,0,0,401089,0,0,0
2022,28,Normandie,0,0-19 years,1,Male,structural_zero_supported,0,0,0,397580,0,0,0
2023,28,Normandie,0,0-19 years,1,Male,structural_zero_supported,0,0,0,393791,0,0,0
2024,28,Normandie,0,0-19 years,1,Male,structural_zero_supported,0,0,0,390133,0,0,0
2025,28,Normandie,0,0-19 years,1,Male,structural_zero_supported,0,0,0,386121.5,0,0,0
2020,28,Normandie,0,0-19 years,2,Female,structural_zero_supported,0,0,0,383319,0,0,0
2021,28,Normandie,0,0-19 years,2,Female,structural_zero_supported,0,0,0,380026,0,0,0
2022,28,Normandie,0,0-19 years,2,Female,observed,11,11,11,377046.5,2.917412043342134,2.917412043342134,2.917412043342134
2023,28,Normandie,0,0-19 years,2,Female,observed,11,11,11,373946,2.9416011937552478,2.9416011937552478,2.9416011937552478
2024,28,Normandie,0,0-19 years,2,Female,structural_zero_supported,0,0,0,370453,0,0,0
2025,28,Normandie,0,0-19 years,2,Female,observed,42,42,42,366697.5,11.453582312396458,11.453582312396458,11.453582312396458
2020,28,Normandie,20,20-59 years,1,Male,observed,4052,4052,4052,786396.5,515.2617032247726,515.2617032247726,515.2617032247726
2021,28,Normandie,20,20-59 years,1,Male,observed,4792,4792,4792,786660.5,609.1573175467689,609.1573175467689,609.1573175467689
2022,28,Normandie,20,20-59 years,1,Male,observed,5677,5677,5677,787614.5,720.784089170527,720.784089170527,720.784089170527
2023,28,Normandie,20,20-59 years,1,Male,observed,6496,6496,6496,787144.5,825.2614354797626,825.2614354797626,825.2614354797626
2024,28,Normandie,20,20-59 years,1,Male,observed,6327,6327,6327,785680.5,805.2891728889797,805.2891728889797,805.2891728889797
2025,28,Normandie,20,20-59 years,1,Male,observed,7636,7636,7636,784695.5,973.116323465599,973.116323465599,973.116323465599
2020,28,Normandie,20,20-59 years,2,Female,observed,3472,3472,3472,799395.5,434.32818923799294,434.32818923799294,434.32818923799294
2021,28,Normandie,20,20-59 years,2,Female,observed,4058,4058,4058,798392.5,508.27130765882697,508.27130765882697,508.27130765882697
2022,28,Normandie,20,20-59 years,2,Female,observed,4685,4685,4685,798435,586.7728744356147,586.7728744356147,586.7728744356147
2023,28,Normandie,20,20-59 years,2,Female,observed,5412,5412,5412,796616.5,679.3733245545379,679.3733245545379,679.3733245545379
2024,28,Normandie,20,20-59 years,2,Female,observed,5466,5466,5466,793617.5,688.744892848255,688.744892848255,688.744892848255
2025,28,Normandie,20,20-59 years,2,Female,observed,6935,6935,6935,791127.5,876.5970086996091,876.5970086996091,876.5970086996091
2020,28,Normandie,60,60 years or older,1,Male,observed,7649,7649,7649,418905,1825.9509912748713,1825.9509912748713,1825.9509912748713
2021,28,Normandie,60,60 years or older,1,Male,observed,9689,9689,9689,425743.5,2275.783423587207,2275.783423587207,2275.783423587207
2022,28,Normandie,60,60 years or older,1,Male,observed,12013,12013,12013,432731.5,2776.0863260474453,2776.0863260474453,2776.0863260474453
2023,28,Normandie,60,60 years or older,1,Male,observed,14298,14298,14298,439690.5,3251.832823315491,3251.832823315491,3251.832823315491
2024,28,Normandie,60,60 years or older,1,Male,observed,14654,14654,14654,446751,3280.1269611036128,3280.1269611036128,3280.1269611036128
2025,28,Normandie,60,60 years or older,1,Male,observed,17060,17060,17060,453536,3761.5536583644957,3761.5536583644957,3761.5536583644957
2020,28,Normandie,60,60 years or older,2,Female,observed,6232,6232,6232,534037.5,1166.959249116401,1166.959249116401,1166.959249116401
2021,28,Normandie,60,60 years or older,2,Female,observed,7699,7699,7699,541608.5,1421.5064940819798,1421.5064940819798,1421.5064940819798
2022,28,Normandie,60,60 years or older,2,Female,observed,9217,9217,9217,549050.5,1678.7162565192093,1678.7162565192093,1678.7162565192093
2023,28,Normandie,60,60 years or older,2,Female,observed,10968,10968,10968,556212.5,1971.9082185315865,1971.9082185315865,1971.9082185315865
2024,28,Normandie,60,60 years or older,2,Female,observed,11245,11245,11245,563336,1996.1443969496004,1996.1443969496004,1996.1443969496004
2025,28,Normandie,60,60 years or older,2,Female,observed,13326,13326,13326,570176,2337.17308339881,2337.17308339881,2337.17308339881
