study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2020,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,1,Male,ambiguous_due_to_unknown_age,,0,22,617087,,0,3.5651374927684425
2021,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,1,Male,observed,17,17,17,615098,2.763787233904191,2.763787233904191,2.763787233904191
2022,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,1,Male,observed,43,43,43,614571,6.996750578859074,6.996750578859074,6.996750578859074
2023,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,1,Male,observed,41,41,41,613343,6.684677252369392,6.684677252369392,6.684677252369392
2024,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,1,Male,observed,55,55,55,610325,9.01159218449187,9.01159218449187,9.01159218449187
2025,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,1,Male,observed,74,74,74,606655.5,12.19802672192043,12.19802672192043,12.19802672192043
2020,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,2,Female,observed,12,12,12,583354.5,2.0570682149533432,2.0570682149533432,2.0570682149533432
2021,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,2,Female,observed,39,39,39,581139.5,6.710953222074906,6.710953222074906,6.710953222074906
2022,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,2,Female,observed,57,57,57,579917.5,9.828984295179918,9.828984295179918,9.828984295179918
2023,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,2,Female,observed,75,75,75,577839.5,12.97938268325374,12.97938268325374,12.97938268325374
2024,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,2,Female,observed,65,65,65,575040,11.303561491374513,11.303561491374513,11.303561491374513
2025,93,Provence-Alpes-Côte d'Azur and Corse,0,0-19 years,2,Female,observed,115,115,115,571742.5,20.11394989877436,20.11394989877436,20.11394989877436
2020,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,1,Male,observed,6228,6228,6228,1276323.5,487.96406240267453,487.96406240267453,487.96406240267453
2021,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,1,Male,observed,7495,7495,7495,1287221,582.2620979614222,582.2620979614222,582.2620979614222
