source_id,provider,dataset,resource_role,source_url,source_filename,local_path,downloaded_at_utc,file_size_bytes,sha256,content_type
insee_regional_population,INSEE,Regional population estimates,denominator,https://www.insee.fr/fr/statistiques/fichier/8721456/estim-pop-nreg-sexe-aq-1975-2026.xlsx,estim-pop-nreg-sexe-aq-1975-2026.xlsx,data/raw/reference/estim-pop-nreg-sexe-aq-1975-2026.xlsx,2026-08-27T12:54:42.907082+00:00,571933,483f4f671e44e79dcecb372d07360742ae7b08c6e85b2007ce7db3419d5e5055,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
open_medic_dictionary,Assurance Maladie,Open Medic variable dictionary,documentation,https://www.assurance-maladie.ameli.fr/content/descriptif-des-variables-de-la-serie-open-medic,open_medic_variable_dictionary.xls,data/raw/reference/open_medic_variable_dictionary.xls,2026-08-27T12:54:42.579257+00:00,2567168,ca8ddfca8684073be374337f5cbc8c3f19c0fad88a77716dcd6df0f839b073df,application/vnd.ms-excel
