year,atc_level,variant,source_filename,local_path,file_size_bytes,sha256,source_columns,canonical_columns,encoding,delimiter,decimal_mark,thousands_mark,row_count,column_count,columns_match_expected,key_columns,duplicate_key_rows,negative_nbc_cells,negative_rem_cells,negative_bse_cells,negative_boxes_cells,negative_measure_cells
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,75738,b80764013167b109d813a3ebe8fc273000d4016289394410c90bbd862af6ff51,ATC4|L_ATC4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,cp1252,;,",",.,3441,8,True,ATC4|age|sexe,0,0,1,1,1,3
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,616446,5511f04bc78e39feadeb0baded55e43ff87c7638d2ae70f381cfe4656439aba3,ATC4|L_ATC4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,32040,9,True,ATC4|age|sexe|BEN_REG,0,0,22,8,7,37
2020,ATC4,national,NB_2020_atc4.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4.CSV.gz,15908,a31e995d5e974e7f6d123ee7f0f05a6d7308fc2c27ff4de63f3c1ac7a09bd9f5,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,cp1252,;,",",.,437,6,True,ATC4,0,0,1,1,1,3
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,134426,95b421afef904652ec198867f185098ee9af91568805fc9973b38542c40e9f52,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,5947,7,True,ATC4|BEN_REG,0,0,3,1,1,5
2020,ATC5,national,NB_2020_atc5.CSV.gz,data/raw/open_medic/2020/atc5/NB_2020_atc5.CSV.gz,34814,e5e87b94db0c4299437911b8eec696075bd8e0991a80a3146e5c81d692bf06f6,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,utf-8,;,",",.,1141,6,True,ATC5,0,0,2,1,1,4
