year,atc_level,variant,source_filename,position,source_column,column,pandas_dtype,missing_count,distinct_count
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,1,ATC4,ATC4,str,0,450
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,2,L_ATC4,l_atc4,str,0,432
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,3,age,age,int64,0,4
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,4,sexe,sexe,int64,0,3
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,5,nbc,nbc,int64,0,2368
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,6,REM,REM,float64,0,3538
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,7,BSE,BSE,float64,0,3537
2021,ATC4,age_sex,NB_2021_atc4_age_sexe.CSV.gz,8,BOITES,BOITES,int64,0,2789
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,1,ATC4,ATC4,str,0,450
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,2,L_ATC4,l_atc4,str,0,432
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,3,age,age,int64,0,4
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,4,sexe,sexe,int64,0,3
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,5,BEN_REG,BEN_REG,int64,0,14
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,6,nbc,nbc,int64,0,12900
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,7,REM,REM,float64,0,31697
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,8,BSE,BSE,float64,0,31701
2021,ATC4,age_sex_region,NB_2021_atc4_age_sexe_reg.CSV.gz,9,BOITES,BOITES,int64,0,18172
2021,ATC4,national,NB_2021_atc4.CSV.gz,1,ATC4,ATC4,str,0,450
2021,ATC4,national,NB_2021_atc4.CSV.gz,2,L_ATC4,l_atc4,str,0,432
2021,ATC4,national,NB_2021_atc4.CSV.gz,3,nbc,nbc,int64,0,447
2021,ATC4,national,NB_2021_atc4.CSV.gz,4,REM,REM,float64,0,450
2021,ATC4,national,NB_2021_atc4.CSV.gz,5,BSE,BSE,float64,0,450
2021,ATC4,national,NB_2021_atc4.CSV.gz,6,BOITES,BOITES,int64,0,448
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,1,ATC4,ATC4,str,0,450
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,2,L_ATC4,l_atc4,str,0,432
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,3,BEN_REG,BEN_REG,int64,0,14
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,4,nbc,nbc,int64,0,4990
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,5,REM,REM,float64,0,5971
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,6,BSE,BSE,float64,0,5972
2021,ATC4,region,NB_2021_atc4_reg.CSV.gz,7,BOITES,BOITES,int64,0,5650
2021,ATC5,national,NB_2021_atc5.CSV.gz,1,ATC5,ATC5,str,0,1146
2021,ATC5,national,NB_2021_atc5.CSV.gz,2,L_ATC5,l_atc5,str,0,1067
2021,ATC5,national,NB_2021_atc5.CSV.gz,3,nbc,nbc,int64,0,1120
2021,ATC5,national,NB_2021_atc5.CSV.gz,4,REM,REM,float64,0,1146
2021,ATC5,national,NB_2021_atc5.CSV.gz,5,BSE,BSE,float64,0,1146
2021,ATC5,national,NB_2021_atc5.CSV.gz,6,BOITES,BOITES,int64,0,1136
