year,atc_level,variant,source_filename,position,source_column,column,pandas_dtype,missing_count,distinct_count
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,1,ATC4,ATC4,str,0,449
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,2,l_atc4,l_atc4,str,0,431
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,3,age,age,int64,0,4
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,4,sexe,sexe,int64,0,3
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,5,nbc,nbc,int64,0,2359
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,6,REM,REM,float64,0,3522
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,7,BSE,BSE,float64,0,3519
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,8,BOITES,BOITES,int64,0,2755
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,1,ATC4,ATC4,str,0,449
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,2,l_atc4,l_atc4,str,0,431
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,3,age,age,int64,0,4
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,4,sexe,sexe,int64,0,3
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,5,BEN_REG,BEN_REG,int64,0,15
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,6,nbc,nbc,int64,0,13126
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,7,REM,REM,float64,0,32271
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,8,BSE,BSE,float64,0,32117
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,9,BOITES,BOITES,int64,0,18322
2024,ATC4,national,NB_2024_atc4.CSV.gz,1,ATC4,ATC4,str,0,449
2024,ATC4,national,NB_2024_atc4.CSV.gz,2,l_atc4,l_atc4,str,0,431
2024,ATC4,national,NB_2024_atc4.CSV.gz,3,nbc,nbc,int64,0,447
2024,ATC4,national,NB_2024_atc4.CSV.gz,4,REM,REM,float64,0,449
2024,ATC4,national,NB_2024_atc4.CSV.gz,5,BSE,BSE,float64,0,449
2024,ATC4,national,NB_2024_atc4.CSV.gz,6,BOITES,BOITES,int64,0,449
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,1,ATC4,ATC4,str,0,449
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,2,l_atc4,l_atc4,str,0,431
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,3,BEN_REG,BEN_REG,int64,0,15
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,4,nbc,nbc,int64,0,5039
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,5,REM,REM,float64,0,6156
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,6,BSE,BSE,float64,0,6155
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,7,BOITES,BOITES,int64,0,5788
2024,ATC5,national,NB_2024_atc5.CSV.gz,1,ATC5,ATC5,str,0,1169
2024,ATC5,national,NB_2024_atc5.CSV.gz,2,l_atc5,l_atc5,str,2,1092
2024,ATC5,national,NB_2024_atc5.CSV.gz,3,nbc,nbc,int64,0,1127
2024,ATC5,national,NB_2024_atc5.CSV.gz,4,REM,REM,float64,0,1169
2024,ATC5,national,NB_2024_atc5.CSV.gz,5,BSE,BSE,float64,0,1169
2024,ATC5,national,NB_2024_atc5.CSV.gz,6,BOITES,BOITES,int64,0,1162
