year,atc_level,variant,source_filename,local_path,file_size_bytes,sha256,source_columns,canonical_columns,encoding,delimiter,decimal_mark,thousands_mark,row_count,column_count,columns_match_expected,key_columns,duplicate_key_rows,negative_nbc_cells,negative_rem_cells,negative_bse_cells,negative_boxes_cells,negative_measure_cells
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4_age_sexe.CSV.gz,75334,febd8320f4e75e37d63609f6035890f747fd567d668d2827ef70f2c5b4dfa7f2,ATC4|L_ATC4|age|SEXE|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,cp1252,;,",",.,3413,8,True,ATC4|age|sexe,0,0,1,1,1,3
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4_age_sexe_reg.CSV.gz,613838,ba84d6d8c942bfc0a96660d93a27b923369027215f545eb429ced0f01174d1ef,ATC4|L_ATC4|age|SEXE|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,31799,9,True,ATC4|age|sexe|BEN_REG,0,0,13,4,4,21
2019,ATC4,national,NB_2019_atc4.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4.CSV.gz,15777,74d07755e3d6ea6202da6f949c8f67946bb5d9a0b185fdcf384f142854ff5205,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,cp1252,;,",",.,433,6,True,ATC4,0,0,1,1,1,3
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,data/raw/open_medic/2019/atc4/NB_2019_atc4_reg.CSV.gz,133417,6680faaeea9879e1a41882d772be8670c5665acaa8d08a7e0db5969c5f8c7378,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,5888,7,True,ATC4|BEN_REG,0,0,2,1,1,4
2019,ATC5,national,NB_2019_atc5.CSV.gz,data/raw/open_medic/2019/atc5/NB_2019_atc5.CSV.gz,34224,037446775126d3d474f76092821d6d46e24a8aaa3aa67e94d99a1e0e27b0bfde,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,utf-8,;,",",.,1118,6,True,ATC5,0,0,2,1,1,4
