year,atc_level,variant,source_filename,local_path,file_size_bytes,sha256,source_columns,canonical_columns,encoding,delimiter,decimal_mark,thousands_mark,row_count,column_count,columns_match_expected,key_columns,duplicate_key_rows,negative_nbc_cells,negative_rem_cells,negative_bse_cells,negative_boxes_cells,negative_measure_cells
2022,ATC4,age_sex,NB_2022_atc4_age_sexe.CSV.gz,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,77096,45b107a8ee63c5c1c92347d5e23525c4151be6f85b0c40f7bab289a702272779,ATC4|L_ATC4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,cp1252,;,",",.,3514,8,True,ATC4|age|sexe,0,0,0,0,0,0
2022,ATC4,age_sex_region,NB_2022_atc4_age_sexe_reg.CSV.gz,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,617756,a02d64009a11252c74d899d2dee4fdcf04be66e5863f2a489806315418567e55,ATC4|L_ATC4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,32106,9,True,ATC4|age|sexe|BEN_REG,0,0,7,1,1,9
2022,ATC4,national,NB_2022_atc4.CSV.gz,data/raw/open_medic/2022/atc4/NB_2022_atc4.CSV.gz,16125,83a3aa8ad4c6085c3fe285a2e7adcec238ffd0b97ebc03014e21d92c774f49cf,ATC4|L_ATC4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,cp1252,;,",",.,446,6,True,ATC4,0,0,0,0,0,0
2022,ATC4,region,NB_2022_atc4_reg.CSV.gz,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,136637,a564ffce0b65c834847508d01d73e824f253bfcf0a123e104400aa97b2dfb958,ATC4|L_ATC4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,6065,7,True,ATC4|BEN_REG,0,0,0,0,0,0
2022,ATC5,national,NB_2022_atc5.CSV.gz,data/raw/open_medic/2022/atc5/NB_2022_atc5.CSV.gz,34876,75cb6779a81b20ebda6e7c519a7e47f75d40c9beea83f6c7b2fde247de0266e5,ATC5|L_ATC5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,utf-8,;,",",.,1142,6,True,ATC5,0,0,0,0,0,0
