year,atc_level,variant,source_filename,local_path,file_size_bytes,sha256,source_columns,canonical_columns,encoding,delimiter,decimal_mark,thousands_mark,row_count,column_count,columns_match_expected,key_columns,duplicate_key_rows,negative_nbc_cells,negative_rem_cells,negative_bse_cells,negative_boxes_cells,negative_measure_cells
2024,ATC4,age_sex,NB_2024_atc4_age_sexe.CSV.gz,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,78390,1f3ed68d2842f155cc5b221f9f71745f1982f962f28ea8c171f1a4bf47a968f1,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|nbc|REM|BSE|BOITES,cp1252,;,",",.,3524,8,True,ATC4|age|sexe,0,0,0,0,0,0
2024,ATC4,age_sex_region,NB_2024_atc4_age_sexe_reg.CSV.gz,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,629044,22620efaab67bc3db52fb4249ba7b1faa41fb5869e7decff2377e41be25295ce,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|age|sexe|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,32489,9,True,ATC4|age|sexe|BEN_REG,0,0,3,1,1,5
2024,ATC4,national,NB_2024_atc4.CSV.gz,data/raw/open_medic/2024/atc4/NB_2024_atc4.CSV.gz,16722,56681aa93cc1748af89d437d96c2aec14a6e64fe5ff7ca0dcb60a8a546d321b4,ATC4|l_atc4|nbc|REM|BSE|BOITES,ATC4|l_atc4|nbc|REM|BSE|BOITES,cp1252,;,",",.,449,6,True,ATC4,0,0,0,0,0,0
2024,ATC4,region,NB_2024_atc4_reg.CSV.gz,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,140006,a6cc235f688098ae0c609e9248726a26c8fbfee11eee8d79b353d63c23cbf87a,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,ATC4|l_atc4|BEN_REG|nbc|REM|BSE|BOITES,cp1252,;,",",.,6157,7,True,ATC4|BEN_REG,0,0,0,0,0,0
2024,ATC5,national,NB_2024_atc5.CSV.gz,data/raw/open_medic/2024/atc5/NB_2024_atc5.CSV.gz,35836,22caac0361f0112322a7d7f7e5bc11ef9d0c82311fc5612104fd4e76ce4758e9,ATC5|l_atc5|nbc|REM|BSE|BOITES,ATC5|l_atc5|nbc|REM|BSE|BOITES,utf-8,;,",",.,1169,6,True,ATC5,0,0,0,0,0,0
