year,atc_level,variant,source_filename,position,source_column,column,pandas_dtype,missing_count,distinct_count
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,1,ATC4,ATC4,str,0,437
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,2,L_ATC4,l_atc4,str,0,419
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,3,age,age,int64,0,4
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,4,sexe,sexe,int64,0,3
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,5,nbc,nbc,int64,0,2360
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,6,REM,REM,float64,0,3439
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,7,BSE,BSE,float64,0,3438
2020,ATC4,age_sex,NB_2020_atc4_age_sexe.CSV.gz,8,BOITES,BOITES,int64,0,2748
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,1,ATC4,ATC4,str,0,437
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,2,L_ATC4,l_atc4,str,0,419
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,3,age,age,int64,0,4
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,4,sexe,sexe,int64,0,3
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,5,BEN_REG,BEN_REG,int64,0,15
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,6,nbc,nbc,int64,0,12923
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,7,REM,REM,float64,0,31823
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,8,BSE,BSE,float64,0,31825
2020,ATC4,age_sex_region,NB_2020_atc4_age_sexe_reg.CSV.gz,9,BOITES,BOITES,int64,0,18317
2020,ATC4,national,NB_2020_atc4.CSV.gz,1,ATC4,ATC4,str,0,437
2020,ATC4,national,NB_2020_atc4.CSV.gz,2,L_ATC4,l_atc4,str,0,419
2020,ATC4,national,NB_2020_atc4.CSV.gz,3,nbc,nbc,int64,0,434
2020,ATC4,national,NB_2020_atc4.CSV.gz,4,REM,REM,float64,0,437
2020,ATC4,national,NB_2020_atc4.CSV.gz,5,BSE,BSE,float64,0,437
2020,ATC4,national,NB_2020_atc4.CSV.gz,6,BOITES,BOITES,int64,0,437
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,1,ATC4,ATC4,str,0,437
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,2,L_ATC4,l_atc4,str,0,419
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,3,BEN_REG,BEN_REG,int64,0,15
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,4,nbc,nbc,int64,0,5021
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,5,REM,REM,float64,0,5945
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,6,BSE,BSE,float64,0,5947
2020,ATC4,region,NB_2020_atc4_reg.CSV.gz,7,BOITES,BOITES,int64,0,5652
2020,ATC5,national,NB_2020_atc5.CSV.gz,1,ATC5,ATC5,str,0,1141
2020,ATC5,national,NB_2020_atc5.CSV.gz,2,L_ATC5,l_atc5,str,0,1058
2020,ATC5,national,NB_2020_atc5.CSV.gz,3,nbc,nbc,int64,0,1112
2020,ATC5,national,NB_2020_atc5.CSV.gz,4,REM,REM,float64,0,1141
2020,ATC5,national,NB_2020_atc5.CSV.gz,5,BSE,BSE,float64,0,1141
2020,ATC5,national,NB_2020_atc5.CSV.gz,6,BOITES,BOITES,int64,0,1131
