year,atc_level,variant,source_filename,position,source_column,column,pandas_dtype,missing_count,distinct_count
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,1,ATC4,ATC4,str,0,433
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,2,L_ATC4,l_atc4,str,6,411
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,3,age,age,int64,0,4
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,4,SEXE,sexe,int64,0,3
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,5,nbc,nbc,int64,0,2350
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,6,REM,REM,float64,0,3412
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,7,BSE,BSE,float64,0,3410
2019,ATC4,age_sex,NB_2019_atc4_age_sexe.CSV.gz,8,BOITES,BOITES,int64,0,2728
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,1,ATC4,ATC4,str,0,433
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,2,L_ATC4,l_atc4,str,81,411
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,3,age,age,int64,0,4
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,4,SEXE,sexe,int64,0,3
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,5,BEN_REG,BEN_REG,int64,0,15
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,6,nbc,nbc,int64,0,13118
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,7,REM,REM,float64,0,31559
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,8,BSE,BSE,float64,0,31524
2019,ATC4,age_sex_region,NB_2019_atc4_age_sexe_reg.CSV.gz,9,BOITES,BOITES,int64,0,18296
2019,ATC4,national,NB_2019_atc4.CSV.gz,1,ATC4,ATC4,str,0,433
2019,ATC4,national,NB_2019_atc4.CSV.gz,2,L_ATC4,l_atc4,str,1,411
2019,ATC4,national,NB_2019_atc4.CSV.gz,3,nbc,nbc,int64,0,430
2019,ATC4,national,NB_2019_atc4.CSV.gz,4,REM,REM,float64,0,433
2019,ATC4,national,NB_2019_atc4.CSV.gz,5,BSE,BSE,float64,0,433
2019,ATC4,national,NB_2019_atc4.CSV.gz,6,BOITES,BOITES,int64,0,433
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,1,ATC4,ATC4,str,0,433
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,2,L_ATC4,l_atc4,str,14,411
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,3,BEN_REG,BEN_REG,int64,0,15
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,4,nbc,nbc,int64,0,4986
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,5,REM,REM,float64,0,5886
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,6,BSE,BSE,float64,0,5887
2019,ATC4,region,NB_2019_atc4_reg.CSV.gz,7,BOITES,BOITES,int64,0,5563
2019,ATC5,national,NB_2019_atc5.CSV.gz,1,ATC5,ATC5,str,0,1118
2019,ATC5,national,NB_2019_atc5.CSV.gz,2,L_ATC5,l_atc5,str,13,1022
2019,ATC5,national,NB_2019_atc5.CSV.gz,3,nbc,nbc,int64,0,1095
2019,ATC5,national,NB_2019_atc5.CSV.gz,4,REM,REM,float64,0,1118
2019,ATC5,national,NB_2019_atc5.CSV.gz,5,BSE,BSE,float64,0,1118
2019,ATC5,national,NB_2019_atc5.CSV.gz,6,BOITES,BOITES,int64,0,1118
