year,region_code,stratified_beneficiaries,stratified_boxes,stratified_expenditure_eur,stratified_rows,direct_beneficiaries,direct_boxes,direct_expenditure_eur,beneficiary_difference,boxes_difference,expenditure_difference_eur,reconciliation_scope,historical_window_amendment_id,amendment_id,analysis_version
2023,ALL,755798,7477882,589059790.92,15,751016,7477882,589059790.92,4782,0,0,regions_to_national,001,002,sap-v1.0-amendments-001-002
2023,11,119000,1099227,82780300.06,6,119000,1099227,82780300.07,0,0,-0.009999990463256836,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,24,31124,308078,24098257.02,6,31124,308078,24098257.02,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,27,37330,379277,29727282.91,5,37330,379277,29727282.91,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,28,37185,380806,29893890.349999998,5,37185,380806,29893890.36,0,0,-0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,32,86239,895669,69972339.39,6,86239,895669,69972339.39,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,44,73672,746698,58275715.13,6,73672,746698,58275715.14,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,5,38538,350517,35163943.29,6,38538,350517,35163943.3,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,52,35335,362305,28448536.419999998,6,35335,362305,28448536.41,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,53,24058,247076,19535623.37,4,24058,247076,19535623.37,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,75,65821,677855,53303420.980000004,8,65821,677855,53303420.99,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,76,63281,624245,48589528.339999996,8,63281,624245,48589528.33,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,84,77425,774086,60604701.46,6,77425,774086,60604701.46,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2023,93,64860,622245,47923244.46,8,64860,622245,47923244.45,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,ALL,783106,7485218,582112459.4300001,15,778285,7485218,582112459.44,4821,0,-0.009999990463256836,regions_to_national,001,002,sap-v1.0-amendments-001-002
2024,11,126910,1144585,85272061.67,6,126910,1144585,85272061.67,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,24,31415,296479,22860116.54,6,31415,296479,22860116.53,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,27,37212,354661,27357008.63,5,37212,354661,27357008.63,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,28,37692,368032,28460661.26,4,37692,368032,28460661.26,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,32,86611,846663,65119636.150000006,6,86611,846663,65119636.15,0,0,7.450580596923828e-9,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,44,74732,726179,55740238.39,6,74732,726179,55740238.39,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,5,43125,397684,39347428.76,6,43125,397684,39347428.77,0,0,-0.01000000536441803,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,52,36293,362400,28063779.57,6,36293,362400,28063779.58,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,53,25649,255785,19919707.52,4,25649,255785,19919707.52,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,75,68460,683509,52928124.65,8,68460,683509,52928124.63,0,0,0.019999995827674866,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,76,65549,634710,48670370.120000005,8,65549,634710,48670370.11,0,0,0.01000000536441803,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,84,78266,758315,58494874.03,6,78266,758315,58494874.04,0,0,-0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2024,93,69310,646761,49167426.07,8,69310,646761,49167426.09,0,0,-0.020000003278255463,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,ALL,931551,8829921,674561996.61,14,925644,8829921,674561996.61,5907,0,0,regions_to_national,001,002,sap-v1.0-amendments-001-002
2025,11,149392,1323908,97289198,7,149392,1323908,97289197.99,0,0,0.01000000536441803,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,24,37575,353167,26766449.17,6,37575,353167,26766449.16,0,0,0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,27,43640,422785,32162147.71,5,43640,422785,32162147.7,0,0,0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,28,44999,439079,33470274.79,5,44999,439079,33470274.8,0,0,-0.010000001639127731,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,32,100018,985494,74468127.73,7,100018,985494,74468127.74,0,0,-0.009999990463256836,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,44,88986,862259,65115995.660000004,6,88986,862259,65115995.65,0,0,0.01000000536441803,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,5,48053,435921,42258993.58,6,48053,435921,42258993.58,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,52,43553,431559,32958038.07,6,43553,431559,32958038.07,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,53,32023,311877,23795984.63,4,32023,311877,23795984.63,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,75,83386,819360,62199088.72,8,83386,819360,62199088.72,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,76,79663,757918,57072862.03,8,79663,757918,57072862.02,0,0,0.009999997913837433,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,84,95294,912740,69081312.92,7,95294,912740,69081312.92,0,0,0,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
2025,93,83272,764655,57234204.88,8,83272,764655,57234204.86,0,0,0.020000003278255463,within_region_age_sex,001,002,sap-v1.0-amendments-001-002
