study_year,region_code,region_name,age_code,sex_code,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000,boxes,unknown_age_beneficiaries,unknown_age_boxes,population_start_status,population_end_status,open_medic_source_file,historical_window_amendment_id,amendment_id,analysis_version,standard_population,standard_weight
2020,44,Grand Est,60,1,observed,13523,13523,13523,677824,1995.0606647153243,1995.0606647153243,1995.0606647153243,148525,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,44,Grand Est,60,2,observed,11291,11291,11291,843675.5,1338.3107604760362,1338.3107604760362,1338.3107604760362,124104,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,5,Overseas regions and departments,0,1,structural_zero_supported,0,0,0,353563.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,5,Overseas regions and departments,0,2,structural_zero_supported,0,0,0,347694.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,5,Overseas regions and departments,20,1,observed,3646,3646,3646,486361,749.6489233306124,749.6489233306124,749.6489233306124,32677,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,5,Overseas regions and departments,20,2,observed,6664,6664,6664,576564,1155.8127111647623,1155.8127111647623,1155.8127111647623,62022,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,5,Overseas regions and departments,60,1,observed,3919,3919,3919,188690.5,2076.9461101645284,2076.9461101645284,2076.9461101645284,38209,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,5,Overseas regions and departments,60,2,observed,6442,6442,6442,229413.5,2808.0300418240427,2808.0300418240427,2808.0300418240427,66448,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,52,Pays de la Loire,0,1,structural_zero_supported,0,0,0,483576,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,52,Pays de la Loire,0,2,structural_zero_supported,0,0,0,458475,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
