study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file,metropolitan_median_crude_rate,metropolitan_max_crude_rate,direct_dom_start,five_drom_start,four_drom_start,mayotte_start,direct_dom_end,five_drom_end,four_drom_end,mayotte_end,direct_dom_average,five_drom_average,four_drom_average,mayotte_average,recalculated_crude_rate_per_100000,rate_recalculation_difference,processed_minus_direct_dom_population,rate_using_direct_dom_per_100000,rate_using_five_drom_per_100000,rate_using_four_drom_per_100000,overseas_to_metro_median_rate_ratio,population_needed_for_metro_median,required_population_increase_pct
2020,5,Overseas regions and departments,20671.0,199356.0,21334312.8,20962508.16,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,2182287.0,6,947.2173000159925,9135.187076676899,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet,611.8756635054447,822.5780549462663,2172696,2172696,1893000,279696,2191878,2191878,1902839,289039,2182287.0,2182287.0,1897919.5,284367.5,947.2173000159925,0.0,0.0,947.2173000159925,947.2173000159925,1089.1399766955342,1.5480551957065438,3378300.7288728463,54.80551957065438
2021,5,Overseas regions and departments,25822.0,244170.0,25608123.38,25162746.44,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,2202915.0,6,1172.174141989137,11083.95012971449,5151.0,24.91896860335736,224.9568419731446,23.74923282855439,22.479383615241066,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet,766.7399930548197,1003.1008300006135,2191878,2191878,1902839,289039,2213952,2213952,1914318,299634,2202915.0,2202915.0,1908578.5,294336.5,1172.174141989137,0.0,0.0,1172.174141989137,1172.174141989137,1352.9440890170354,1.5287765769449435,3367764.8530006707,52.877657694494374
2022,5,Overseas regions and departments,31549.0,294056.0,30692506.12,29968352.73,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,2226490.0,6,1416.9836828371112,13207.155657559657,5727.0,22.178762295716826,244.80954084797418,20.88508286256352,20.430847360445583,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet,923.5315814361886,1213.7491858551878,2213952,2213952,1914318,299634,2239028,2239028,1928465,310563,2226490.0,2226490.0,1921391.5,305098.5,1416.9836828371112,0.0,0.0,1416.9836828371112,1416.9836828371112,1641.9870703081597,1.5343099373315991,3416125.732369432,53.430993733159916
2023,5,Overseas regions and departments,38538.0,350517.0,36161679.06,35163943.3,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,2248777.0,6,1713.7315082820573,15587.0057368961,6989.0,22.15284161146154,296.7478254449461,20.942218957016646,19.200764480235065,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet,1089.1578584507542,1440.1929720640405,2239028,2239028,1928465,310563,2258526,2258526,1937880,320646,2248777.0,2248777.0,1933172.5,315604.5,1713.7315082820573,0.0,0.0,1713.7315082820573,1713.7315082820573,1993.5106670511814,1.573446397127146,3538330.068592392,57.344639712714596
2024,5,Overseas regions and departments,43125.0,397684.0,40527213.76,39347428.77,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,2265987.5,6,1903.1437728584115,17550.140942966365,4587.0,11.902537754943165,189.41226457635412,11.052621934122687,13.456408676326692,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet,1114.992954739363,1448.551953971334,2258526,2258526,1937880,320646,2273449,2273449,1944241,329208,2265987.5,2265987.5,1941060.5,324927.0,1903.1437728584115,0.0,0.0,1903.1437728584115,1903.1437728584115,2221.723640247174,1.7068661867045463,3867737.443245169,70.68661867045465
2025,5,Overseas regions and departments,48053.0,435921.0,43710085.53,42258993.58,data/raw/open_medic/2025/atc4/NB_2025_atc4_reg.CSV.gz,2281300.0,6,2106.386709332398,19108.4469381493,4928.0,11.427246376811585,203.24293647398645,10.679326458280514,9.614920389052607,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet,1340.781243531149,1675.3137779558501,2273449,2273449,1944241,329208,2289151,2289151,1950943,338208,2281300.0,2281300.0,1947592.0,333708.0,2106.386709332398,0.0,0.0,2106.386709332398,2106.386709332398,2467.3032134040395,1.5710144510859296,3583955.267262331,57.10144510859296
