study_year,region_code,region_name,age_code,sex_code,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000,boxes,unknown_age_beneficiaries,unknown_age_boxes,population_start_status,population_end_status,open_medic_source_file,historical_window_amendment_id,amendment_id,analysis_version,standard_population,standard_weight,metropolitan_median_cell_rate,metropolitan_max_cell_rate,overseas_to_metro_median_cell_rate_ratio,overseas_exceeds_metro_max
2021,5,Overseas regions and departments,60,1,observed,5114.0,5114.0,5114.0,196627.5,2600.8569503248527,2600.8569503248527,2600.8569503248527,49447.0,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069.0,0.12669928381395645,2135.5019342647347,3072.2001485190203,1.2179136476504022,False
2021,5,Overseas regions and departments,60,2,observed,8141.0,8141.0,8141.0,238090.5,3419.288043832072,3419.288043832072,3419.288043832072,82304.0,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630.0,0.15640278141156097,1384.2786791326757,2094.114432559881,2.4700864756325207,True
2022,5,Overseas regions and departments,0,1,structural_zero_supported,0.0,0.0,0.0,354811.5,0.0,0.0,0.0,0.0,,,definitive,definitive,,001,002,sap-v1.0-amendments-001-002,8007375.0,0.11610444798842623,1.3827012563909968,6.996750578859074,0.0,False
2022,5,Overseas regions and departments,0,2,observed,50.0,50.0,50.0,349072.0,14.323692533345557,14.323692533345557,14.323692533345557,211.0,,,definitive,definitive,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273,4.089411775230523,9.828984295179918,3.5026290627184693,True
2022,5,Overseas regions and departments,20,1,observed,5392.0,5392.0,5392.0,488210.5,1104.4416291743007,1104.4416291743007,1104.4416291743007,46331.0,,,definitive,definitive,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136,677.6782111079979,959.9113178376414,1.6297434550367917,True
2022,5,Overseas regions and departments,20,2,observed,9701.0,9701.0,9701.0,580840.5,1670.165906130857,1670.165906130857,1670.165906130857,86179.0,,,definitive,definitive,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130.0,0.24791756915148225,594.2516032857009,798.2578606689335,2.8105366428904426,True
2022,5,Overseas regions and departments,60,1,observed,6423.0,6423.0,6423.0,205912.0,3119.2936788531024,3119.2936788531024,3119.2936788531024,61784.0,,,definitive,definitive,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069.0,0.12669928381395645,2640.5200587993236,3737.773830758305,1.1813179257844695,False
2022,5,Overseas regions and departments,60,2,observed,9983.0,9983.0,9983.0,247643.5,4031.198073036441,4031.198073036441,4031.198073036441,99551.0,,,definitive,definitive,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630.0,0.15640278141156097,1678.8113177058142,2542.478636764941,2.4012216444581096,True
2023,5,Overseas regions and departments,0,1,observed,14.0,14.0,14.0,356525.5,3.926787845469679,3.926787845469679,3.926787845469679,37.0,,,definitive,provisional,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8007375.0,0.11610444798842623,3.0359543853389983,9.145640487430661,1.2934278144733091,False
2023,5,Overseas regions and departments,0,2,observed,71.0,71.0,71.0,349990.5,20.28626491290478,20.28626491290478,20.28626491290478,348.0,,,definitive,provisional,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273,6.411131969390545,13.18589548712727,3.164225133683098,True
