figure_id,caption,sources
05,"Age- and sex-standardised rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents across metropolitan regional groupings, 2025. Provence-Alpes-Côte d'Azur and Corsica form a single analytical grouping and therefore share the same estimate. Overseas territories are available only as a combined grouping (2,435.9 per 100,000) and are not mapped separately. Sources: Open Medic; INSEE population estimates; Etalab administrative boundaries derived from IGN ADMIN EXPRESS.",Open Medic; INSEE population estimates; Etalab administrative boundaries derived from IGN ADMIN EXPRESS.
S05,"Age- and sex-standardised rates of beneficiaries with reimbursed GLP-1 receptor agonist dispensings per 100,000 residents across metropolitan regional groupings, 2022–2025. All panels use the same colour scale. Results for 2020–2021 are not mapped because disclosure control produced intervals rather than complete point estimates. Provence-Alpes-Côte d'Azur and Corsica form a single analytical grouping. Overseas territories are available only as a combined grouping and are not mapped separately. Sources: Open Medic; INSEE population estimates; Etalab administrative boundaries derived from IGN ADMIN EXPRESS.",Open Medic; INSEE population estimates; Etalab administrative boundaries derived from IGN ADMIN EXPRESS.
