figure_id,caption,sources
01,"Annual beneficiaries and beneficiary rates for reimbursed GLP-1 receptor agonist dispensings in France, 2020–2025. Panels use independent vertical scales. Beneficiaries had at least one reimbursed community dispensing during the calendar year. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
01a,"Annual beneficiaries and beneficiary rates for reimbursed GLP-1 receptor agonist dispensings in France, 2020–2025. Panels use independent vertical scales. Beneficiaries had at least one reimbursed community dispensing during the calendar year. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
01b,"Relative change in annual beneficiaries and beneficiary rates for reimbursed GLP-1 receptor agonist dispensings in France, 2020–2025, indexed to 2020 = 100 within each measure. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
01c,"Year-on-year percentage change in annual beneficiaries and beneficiary rates for reimbursed GLP-1 receptor agonist dispensings in France, 2021–2025. Sources: Open Medic; French National Institute of Statistics and Economic Studies (INSEE).",Open Medic; French National Institute of Statistics and Economic Studies (INSEE).
