year,atc_level,aggregation,atc_code,atc_label,atc_name,analysis_role,age_code,sex_code,region_code,beneficiaries,reimbursed_expenditure_eur,reimbursement_base_eur,boxes,source_file,source_encoding
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,75,11,6329.48,6329.48,79,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,12,8296.43,8492.72,106,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,76,72,35984.79,36068.92,454,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,76,109,63027.11,64066.78,803,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,93,44,27771.73,27855.86,341,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2023,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,93,109,61420.29,61504.42,778,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,cp1252
2024,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,75,11,5127.68,5127.68,64,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252
2024,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,23,9560,9560,121,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252
2024,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,76,63,30820.98,30849.02,391,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252
2024,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,76,113,51337.64,52256.38,668,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252
2024,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,93,46,21732.53,21786.14,277,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252
2024,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,93,103,51936.36,52316.56,668,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,cp1252
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,11,12,4671,4727.08,59,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,32,13,2871.75,3139.78,41,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,75,11,6593.88,6730.08,84,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,75,24,10269.37,10404.62,133,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,76,74,45842.99,46461.54,585,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,76,128,76381.74,77880.84,996,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,84,12,4365.06,4441.64,58,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,1,93,43,20567.86,20595.9,264,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
2025,ATC4,age_sex_region,A10BJ,ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1,Glucagon-like peptide-1 (GLP-1) analogues,primary_class,99,2,93,115,66538.56,68126.5,872,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,utf-8
