measure,start_year,end_year,start_value,end_value,absolute_change,percentage_change,compound_annual_growth_rate_percentage
Annual beneficiary count,2020,2025,411769,925644,513875,124.8,17.6
"Beneficiary rate per 100,000 residents",2020,2025,609.4,1342.2,732.8,120.2,17.1
