study_year,region_code,region_name,region_display,geographic_scope,beneficiaries,beneficiary_rate_per_100000,boxes,reimbursed_expenditure_eur,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,expenditure_percentage_change,standardised_rate_per_100000,standardised_rate_percentage_change,standardisation_status
2024,52,Pays de la Loire,Pays de la Loire,Metropolitan grouping,36293,922.0513120170524,362400,28063779.58,958,2.7111928682609365,19.96098222880937,2.2127476118156686,0.02622100164226815,-1.3524661671689864,922.3712488035749,1.3888776643101286,point_complete_observed
2024,53,Bretagne,Bretagne,Metropolitan grouping,25649,737.150061007653,255785,19919707.52,1591,6.613184803391814,41.73978903656325,6.00218183695429,3.52482636921434,1.9660706122632376,704.1683573431568,5.070099109087978,point_with_structural_zero
2024,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Metropolitan grouping,68460,1104.8418410673876,683509,52928124.63,2639,4.009358715303635,37.38795398549155,3.502535747722013,0.8341016884141794,-0.7040755603104909,1019.8139693504339,2.6958823630298667,point_complete_observed
2024,76,Occitanie,Occitanie,Metropolitan grouping,65549,1059.68228122764,634710,48670370.11,2268,3.584014159068283,29.929435905041146,2.906467900621812,1.6764251215468207,0.16637695976580158,1007.3411034066978,2.1085237599673734,point_complete_observed
2024,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Metropolitan grouping,78266,948.1947488260994,758315,58494874.04,841,1.0862124636745296,6.507707826316619,0.6910690646658502,-2.0373705247220597,-3.4812933141705527,965.756545306002,-0.16390327004465188,point_complete_observed
2024,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,Metropolitan grouping,69310,1231.2395185428918,646761,49167426.09,4450,6.8609312365094155,71.53843391126452,6.168695956164272,3.939927199093596,2.596196593697031,1163.353345354302,5.319996831405804,point_complete_observed
2025,11,Île-de-France,Île-de-France,Metropolitan grouping,149392,1188.3013658640962,1323908,97289197.99,22482,17.71491608226301,175.32406586245986,17.30779809796099,15.667075839714828,14.092700568805183,1323.1813907544588,15.991243228348795,point_complete_observed
2025,24,Centre-Val de Loire,Centre-Val de Loire,Metropolitan grouping,37575,1451.4469274519893,353167,26766449.16,6160,19.608467292694563,237.64837744186616,19.57889778661246,19.120409877259426,17.08798214074545,1395.3654435173,18.998877487629294,point_complete_observed
2025,27,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Metropolitan grouping,43640,1561.1023657819526,422785,32162147.7,6428,17.273997635171455,231.40379914212144,17.40272607248743,19.20820163480055,17.56456319837043,1464.2744017024504,16.807925337572005,point_with_structural_zero
2025,28,Normandie,Normandie,Metropolitan grouping,44999,1342.310507780503,439079,33470274.8,7307,19.386076621033645,217.16643936916444,19.301211770666438,19.304571341622466,17.601887370905022,1296.9113895831088,18.546806811175244,point_with_structural_zero
2025,32,Hauts-de-France,Hauts-de-France,Metropolitan grouping,100018,1675.3137779558501,985494,74468127.74,13407,15.479558023807606,226.76182398451624,15.654379766140147,16.39743321723046,14.355871965356481,1747.1649451613903,14.425542513088985,point_complete_observed
2025,44,Grand Est,Grand Est,Metropolitan grouping,88986,1604.156898247823,862259,65115995.65,14254,19.0734892683188,258.5571419725768,19.21501105858465,18.739181386407488,16.820447007062043,1568.1796923756413,18.213802790096857,point_complete_observed
2025,5,Overseas regions and departments,Overseas regions/departments,Overseas aggregate,48053,2106.386709332398,435921,42258993.58,4928,11.427246376811585,203.24293647398645,10.679326458280514,9.614920389052607,7.399631693900877,2435.865767444098,9.127127419766135,point_complete_observed
2025,52,Pays de la Loire,Pays de la Loire,Metropolitan grouping,43553,1101.1322171495533,431559,32958038.07,7260,20.003857493180497,179.0809051325009,19.422010770826702,19.083609271523173,17.43976956506583,1093.1302387671137,18.513043439399656,point_complete_observed
2025,53,Bretagne,Bretagne,Metropolitan grouping,32023,915.033053258107,311877,23795984.63,6374,24.850871379001127,177.88299225045398,24.13117785099217,21.929354731512785,19.45950815848123,868.1991852659177,23.29426282965239,point_with_structural_zero
2025,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Metropolitan grouping,83386,1339.2519792817948,819360,62199088.72,14926,21.802512416009346,234.4101382144072,21.21662390953112,19.875524682191447,17.516139396227825,1229.8964567024368,20.60007939348134,point_complete_observed
2025,76,Occitanie,Occitanie,Metropolitan grouping,79663,1279.4635128527357,757918,57072862.02,14114,21.53198370684526,219.78123162509564,20.740295041121136,19.41169983141908,17.264080571011718,1209.0609808021532,20.02498227395515,point_complete_observed
2025,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Metropolitan grouping,95294,1149.9715898103204,912740,69081312.92,17028,21.756573735721773,201.77684098422105,21.280105298413467,20.364228585746027,18.098062528967553,1160.7348288101084,20.189175465782338,point_complete_observed
2025,93,Provence-Alpes-Côte d'Azur and Corse,Provence-Alpes-Côte d'Azur/Corse,Metropolitan grouping,83272,1469.7586808460467,764655,57234204.86,13962,20.14427932477276,238.51916230315487,19.372279618301235,18.22837184060264,16.40675425073892,1379.9660513528881,18.619683079401472,point_complete_observed
