study_year,demographic_scope,age_code,age_group,sex_code,sex,beneficiaries,boxes,open_medic_source_file,population_average,population_start_status,population_end_status,beneficiary_rate_per_100000,beneficiary_rate_index_2020,beneficiary_rate_percentage_change,beneficiary_measure_status,amendment_id,analysis_version,denominator_source_file
2021,age_sex,0,0-19 years,1,Male,271,1236,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,8241575.5,definitive,definitive,3.2882062416342603,157.3866370251785,57.38663702517848,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age_sex,0,0-19 years,1,Male,431,1884,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,8201473,definitive,definitive,5.255153555952693,251.53256348398415,59.818246477777095,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age_sex,0,0-19 years,1,Male,541,2425,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,8146963.5,definitive,provisional,6.640510909371326,317.84127982055264,26.361881506761886,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age_sex,0,0-19 years,1,Male,543,2463,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,8081236.5,provisional,provisional,6.719268765367775,321.6109442465997,1.1860210316845254,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,age_sex,0,0-19 years,1,Male,674,3019,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,8007375,provisional,early,8.417240356546309,402.88262213474263,25.270184159475217,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,age_sex,0,0-19 years,2,Female,256,1067,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,7885832,not_specified,definitive,3.246328351910109,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age_sex,0,0-19 years,2,Female,394,1914,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,7842849,definitive,definitive,5.0236846329694735,154.74973842413644,54.74973842413644,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age_sex,0,0-19 years,2,Female,594,2657,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,7796416,definitive,definitive,7.618885395545851,234.69238381456302,51.65930889738928,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age_sex,0,0-19 years,2,Female,755,3801,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,7738487,definitive,provisional,9.75642913143099,300.53734785301054,28.05585889419977,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age_sex,0,0-19 years,2,Female,803,3933,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,7671506,provisional,provisional,10.467305897955368,322.43521798392646,7.286239226954883,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
