study_year,region_code,region_name,observed_cells,structural_zero_cells,ambiguous_cells,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardisation_status,crude_rate_per_100000,standard_population_year,standard_population_scope,historical_window_amendment_id,amendment_id,analysis_version,reproduced_point,reproduced_lower,reproduced_upper,strata,point_difference,lower_difference,upper_difference
2020,5,Overseas regions and departments,4,2,0,1170.8359365567894,1170.8359365567894,1170.8359365567894,point_with_structural_zero,947.2173000159925,2025,France_entire,001,002,sap-v1.0-amendments-001-002,1170.8359365567894,1170.8359365567894,1170.8359365567894,6,0.0,0.0,0.0
2021,5,Overseas regions and departments,5,1,0,1433.3437564703386,1433.3437564703386,1433.3437564703386,point_with_structural_zero,1172.174141989137,2025,France_entire,001,002,sap-v1.0-amendments-001-002,1433.3437564703386,1433.3437564703386,1433.3437564703386,6,0.0,0.0,0.0
2022,5,Overseas regions and departments,5,1,0,1709.419453361158,1709.419453361158,1709.419453361158,point_with_structural_zero,1416.9836828371112,2025,France_entire,001,002,sap-v1.0-amendments-001-002,1709.419453361158,1709.419453361158,1709.419453361158,6,0.0,0.0,0.0
2023,5,Overseas regions and departments,6,0,0,2037.6333720724106,2037.6333720724106,2037.6333720724106,point_complete_observed,1713.7315082820573,2025,France_entire,001,002,sap-v1.0-amendments-001-002,2037.6333720724103,2037.6333720724106,2037.6333720724106,6,-2.2737367544323206e-13,0.0,0.0
2024,5,Overseas regions and departments,6,0,0,2232.13588136921,2232.13588136921,2232.13588136921,point_complete_observed,1903.1437728584115,2025,France_entire,001,002,sap-v1.0-amendments-001-002,2232.13588136921,2232.13588136921,2232.13588136921,6,0.0,0.0,0.0
2025,5,Overseas regions and departments,6,0,0,2435.865767444098,2435.865767444098,2435.865767444098,point_complete_observed,2106.386709332398,2025,France_entire,001,002,sap-v1.0-amendments-001-002,2435.865767444098,2435.8657674440983,2435.8657674440983,6,0.0,4.547473508864641e-13,4.547473508864641e-13
