study_year,region_code,region_name,observed_cells,structural_zero_cells,ambiguous_cells,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardisation_status,crude_rate_per_100000,standard_population_year,standard_population_scope,historical_window_amendment_id,amendment_id,analysis_version
2022,28,Normandie,5,1,0,935.0288569474138,935.0288569474138,935.0288569474138,point_with_structural_zero,945.5017834180713,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,32,Hauts-de-France,6,0,0,1302.8288262205663,1302.8288262205663,1302.8288262205663,point_complete_observed,1213.7491858551878,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,44,Grand Est,6,0,0,1103.6044057191773,1103.6044057191773,1103.6044057191773,point_complete_observed,1100.1435974445715,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,5,Overseas regions and departments,5,1,0,1709.419453361158,1709.419453361158,1709.419453361158,point_with_structural_zero,1416.9836828371112,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,52,Pays de la Loire,5,1,0,776.929300441656,776.929300441656,776.929300441656,point_with_structural_zero,764.1299439584957,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,53,Bretagne,4,2,0,562.4129795572426,562.4129795572426,562.4129795572426,point_with_structural_zero,578.1251023141738,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,75,Nouvelle-Aquitaine,6,0,0,844.8685263901588,844.8685263901588,844.8685263901588,point_complete_observed,901.561379454306,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,76,Occitanie,6,0,0,833.6955933725839,833.6955933725839,833.6955933725839,point_complete_observed,864.110461416044,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,84,Auvergne-Rhône-Alpes,6,0,0,821.1060574105682,821.1060574105682,821.1060574105682,point_complete_observed,792.6232789500876,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2022,93,Provence-Alpes-Côte d'Azur and Corse,6,0,0,925.40778007404106,925.40778007404106,925.40778007404106,point_complete_observed,965.2638050676485,2025,France_entire,001,002,sap-v1.0-amendments-001-002
