study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file
2020,76,Occitanie,35009,359361,29542481.51,29100087.37,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,5998072.5,6,583.6708375899091,5991.27469699641,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,84,Auvergne-Rhône-Alpes,44221,460272,37970062.67,37422498.55,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,8096506.5,6,546.1738343568303,5684.822213135999,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2020,93,Provence-Alpes-Côte d'Azur and Corse,35345,351161,28696848.87,28195794.92,data/raw/open_medic/2020/atc4/NB_2020_atc4_reg.CSV.gz,5458902,6,647.4745287605457,6432.8137783019365,,,,,,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,11,Île-de-France,77978,729198,59170371.49,57459448.2,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,12349121.5,6,631.4457267263911,5904.857280738553,15860,25.532051901220253,126.1969115311212,24.97718109093403,20.041286940947156,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,24,Centre-Val de Loire,20302,199171,16160919.12,15946804.69,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,2577450,6,787.6777435061787,7727.443791344157,4475,28.27446768180957,172.81800510613493,28.106898909307844,23.31577024759617,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,27,Bourgogne-Franche-Comté,25743,266807,21784235.97,21533190.76,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,2802085.5,6,918.7085833034002,9521.729440447125,4485,21.097939599209713,159.75031047793016,21.048628916476186,17.423355544014996,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,28,Normandie,26238,265040,21413435.97,21129649.69,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,3333520,6,787.0959226283327,7950.754757733566,4833,22.578836720392424,143.67400618390525,22.32967241430832,19.58346117056795,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,32,Hauts-de-France,60157,630278,51316462.72,50578600.23,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,5997104,6,1003.1008300006135,10509.70601810474,10831,21.957993755828564,180.52277505434722,21.94597509243541,16.892621208692972,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,44,Grand Est,49551,504097,40975904.11,40379978.81,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,5560683,6,891.0955722525453,9065.379198922146,9995,25.267974517140246,179.9085807392879,25.296944810039346,20.079418203300126,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,5,Overseas regions and departments,25822,244170,25608123.38,25162746.44,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,2202915,6,1172.174141989137,11083.95012971449,5151,24.91896860335736,224.9568419731446,23.74923282855439,22.479383615241066,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,52,Pays de la Loire,23969,241940,19593131.69,19345828.29,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,3866607.5,6,619.8974165337444,6257.164710925534,4851,25.37399309551209,122.4291884201802,24.610453794092656,22.10311692506459,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,53,Bretagne,15784,163006,13329014.85,13152314.09,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,3408706,6,463.0496147218328,4782.049258574954,3307,26.504768774545173,94.3658397332905,25.595332947923488,23.249431032005873,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,75,Nouvelle-Aquitaine,45465,470893,38282949.84,37836306.63,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,6091368,6,746.3840634813067,7730.496663475265,8617,23.385258358662607,137.49247487046125,22.580780789589028,19.697358688164556,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,76,Occitanie,43373,431913,35015873.99,34447629.9,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,6051453.5,6,716.736896350604,7137.343119301834,8364,23.890999457282412,133.0660587606949,22.798133843751845,20.189169108500927,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2021,84,Auvergne-Rhône-Alpes,53656,542267,44076862.3,43434632.13,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,8139122.5,6,659.2356854194048,6662.474978107284,9435,21.336016824585613,113.06185106257453,20.70070808055373,17.814466228664784,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
