figure_id,caption,sources
02,"Annual reimbursed boxes of GLP-1 receptor agonists by active substance in France, 2019–2025. Historical 2019 substance codes were harmonised according to protocol amendment 001. Sources: Open Medic.",Open Medic.
02a,"Annual reimbursed boxes of GLP-1 receptor agonists by active substance in France, 2019–2025. Historical 2019 substance codes were harmonised according to protocol amendment 001. Sources: Open Medic.",Open Medic.
02b,"Annual composition of reimbursed GLP-1 receptor agonist boxes by active substance in France, 2019–2025. Shares sum to 100% within each calendar year. Sources: Open Medic.",Open Medic.
02c,"Active-substance contributions to the national annual change in reimbursed GLP-1 receptor agonist boxes in France, 2023–2025. Substance-specific changes sum to the displayed national net change. Sources: Open Medic.",Open Medic.
