study_year,sensitivity_scope,regions,crude_rate_min_per_100000,crude_rate_median_per_100000,crude_rate_max_per_100000,crude_rate_range_per_100000,crude_rate_max_min_ratio,crude_rate_coefficient_variation_pct,standardised_complete_regions,standardised_rate_min_per_100000,standardised_rate_median_per_100000,standardised_rate_max_per_100000,standardised_rate_range_per_100000,standardised_rate_max_min_ratio,standardised_rate_coefficient_variation_pct,standardised_summary_status,historical_window_amendment_id,amendment_id,analysis_version
2020,all_13_regional_groupings,13,368.6837749885423,614.8597384000437,947.2173000159925,578.5335250274502,2.5691862899185876,23.72216293832251,10,,,,,,,not_summarised_due_to_interval_estimates,001,002,sap-v1.0-amendments-001-002
2020,metropolitan_12_groupings,12,368.6837749885423,611.8756635054447,822.5780549462663,453.894279957724,2.231120843253354,20.217775176188766,9,,,,,,,not_summarised_due_to_interval_estimates,001,002,sap-v1.0-amendments-001-002
2021,all_13_regional_groupings,13,463.0496147218328,787.0959226283327,1172.174141989137,709.1245272673043,2.5314223459473033,23.3901140532563,12,,,,,,,not_summarised_due_to_interval_estimates,001,002,sap-v1.0-amendments-001-002
2021,metropolitan_12_groupings,12,463.0496147218328,766.7399930548197,1003.1008300006135,540.0512152787808,2.1662923326330916,19.641716893928255,11,,,,,,,not_summarised_due_to_interval_estimates,001,002,sap-v1.0-amendments-001-002
2022,all_13_regional_groupings,13,578.1251023141738,945.5017834180713,1416.9836828371112,838.8585805229375,2.4509983689777095,22.86339172951006,13,562.4129795572426,925.40778007404106,1709.419453361158,1147.0064738039155,3.039438127311521,28.694553360014762,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2022,metropolitan_12_groupings,12,578.1251023141738,923.5315814361886,1213.7491858551878,635.624083541014,2.099457679655628,19.262352847626065,12,562.4129795572426,913.4007452559147,1302.8288262205663,740.4158466633237,2.316498504793067,20.092665388976055,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2023,all_13_regional_groupings,13,695.4102719710897,1110.8618298196122,1713.7315082820573,1018.3212363109676,2.464345980142931,23.143475907047822,13,670.189105477155,1089.4808189773555,2037.6333720724106,1367.4442665952556,3.0403856992298843,28.890739939802256,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2023,metropolitan_12_groupings,12,695.4102719710897,1089.1578584507542,1440.1929720640405,744.7827000929508,2.0709975536914613,19.244996556767358,12,670.189105477155,1086.3172655913352,1531.8827287057215,861.6936232285666,2.285746987210522,20.10063024809434,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2024,all_13_regional_groupings,13,737.150061007653,1125.1440684113386,1903.1437728584115,1165.9937118507585,2.5817589572696966,24.5907529588607,13,704.1683573431568,1140.7597279990764,2232.13588136921,1527.967524026053,3.16988949885665,31.08742827310994,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2024,metropolitan_12_groupings,12,737.150061007653,1114.992954739363,1448.551953971334,711.4018929636809,1.965070656022499,18.096265224168636,12,704.1683573431568,1117.3837962306552,1526.9011680338194,822.7328106906626,2.1683751507875932,19.02007654189018,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2025,all_13_regional_groupings,13,915.033053258107,1342.310507780503,2106.386709332398,1191.353656074291,2.3019788212374457,21.677979383233875,13,868.1991852659177,1323.1813907544588,2435.865767444098,1567.6665821781803,2.8056531367257906,27.260526976009363,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
2025,metropolitan_12_groupings,12,915.033053258107,1340.781243531149,1675.3137779558501,760.2807246977432,1.8308778813952722,16.85309620764101,12,868.1991852659177,1310.0463901687838,1747.1649451613903,878.9657598954726,2.0124010420791367,17.43779460143042,complete_point_estimates,001,002,sap-v1.0-amendments-001-002
